t x v M dripped?
0 0 0 0.01 0
0.166857 0.19 0.947642 0.0935955 1
0.213813 0.19 1.16692 0.0949467 1
0.267119 0.19 0.984762 0.0939543 1
0.31467 0.19 1.13552 0.0946467 1
0.367109 0.19 1.02326 0.0940502 1
0.415978 0.19 1.1162 0.0944738 1
0.467898 0.19 1.04553 0.0941233 1
0.482898 0.156933 0.869541 0.0770361 0
0.517518 0.19 1.10254 0.0943805 1
0.569026 0.19 1.05891 0.0941713 1
0.619099 0.19 1.09361 0.0943284 1
0.670324 0.19 1.06689 0.0942025 1
0.720667 0.19 1.08797 0.0942984 1
0.77171 0.19 1.07166 0.0942224 1
0.822213 0.19 1.08446 0.0942809 1
0.873141 0.19 1.07453 0.0942348 1
0.92374 0.19 1.08231 0.0942704 1
0.94874 0.164523 0.907846 0.081288 0
0.974598 0.19 1.07626 0.0942425 1
1.02525 0.19 1.08099 0.0942641 1
1.07607 0.19 1.07731 0.0942472 1
1.12676 0.19 1.08018 0.0942604 1
1.17755 0.19 1.07795 0.0942501 1
1.22826 0.19 1.07969 0.0942581 1
1.27903 0.19 1.07833 0.0942518 1
1.32976 0.19 1.07939 0.0942567 1
1.38052 0.19 1.07857 0.0942529 1
1.41052 0.169202 0.926982 0.0838684 0
1.43125 0.19 1.07921 0.0942558 1
1.48201 0.19 1.07871 0.0942535 1
1.53274 0.19 1.0791 0.0942553 1
1.5835 0.19 1.0788 0.0942539 1
1.63424 0.19 1.07903 0.094255 1
1.68499 0.19 1.07885 0.0942542 1
1.73573 0.19 1.07899 0.0942548 1
1.78648 0.19 1.07888 0.0942543 1
1.83722 0.19 1.07897 0.0942547 1
1.87222 0.173908 0.960682 0.0863653 0
1.88797 0.19 1.0789 0.0942544 1
1.93871 0.19 1.07895 0.0942547 1
1.98946 0.19 1.07891 0.0942545 1
2.0402 0.19 1.07894 0.0942546 1
2.09095 0.19 1.07892 0.0942545 1
2.14169 0.19 1.07894 0.0942546 1
2.19244 0.19 1.07892 0.0942545 1
2.24318 0.19 1.07893 0.0942546 1
2.29393 0.19 1.07893 0.0942545 1
2.33393 0.178809 1.00009 0.0888711 0
2.34468 0.19 1.07893 0.0942546 1
2.39542 0.19 1.07893 0.0942545 1
2.44617 0.19 1.07893 0.0942546 1
2.49691 0.19 1.07893 0.0942545 1
2.54766 0.19 1.07893 0.0942545 1
2.5984 0.19 1.07893 0.0942545 1
2.64915 0.19 1.07893 0.0942545 1
2.69989 0.19 1.07893 0.0942545 1
2.75064 0.19 1.07893 0.0942545 1
2.79564 0.18391 1.03959 0.091376 0
2.80138 0.19 1.07893 0.0942545 1
2.85213 0.19 1.07893 0.0942545 1
2.90288 0.19 1.07893 0.0942545 1
2.95362 0.19 1.07893 0.0942545 1
3.00437 0.19 1.07893 0.0942545 1
3.05511 0.19 1.07893 0.0942545 1
3.10586 0.19 1.07893 0.0942545 1
3.1566 0.19 1.07893 0.0942545 1
3.20735 0.19 1.07893 0.0942545 1
3.25735 0.189197 1.07438 0.093881 0
3.25809 0.19 1.07893 0.0942545 1
3.30884 0.19 1.07893 0.0942545 1
3.35959 0.19 1.07893 0.0942545 1
3.41033 0.19 1.07893 0.0942545 1
3.46108 0.19 1.07893 0.0942545 1
3.51182 0.19 1.07893 0.0942545 1
3.56257 0.19 1.07893 0.0942545 1
3.61331 0.19 1.07893 0.0942545 1
3.66406 0.19 1.07893 0.0942545 1
3.71906 0.19464 1.10091 0.096386 0
3.7148 0.19 1.07893 0.0942545 1
3.76555 0.19 1.07893 0.0942545 1
3.81629 0.19 1.07893 0.0942545 1
3.86704 0.19 1.07893 0.0942545 1
3.91779 0.19 1.07893 0.0942545 1
3.96853 0.19 1.07893 0.0942545 1
4.01928 0.19 1.07893 0.0942545 1
4.07002 0.19 1.07893 0.0942545 1
4.12077 0.19 1.07893 0.0942545 1
4.17151 0.19 1.07893 0.0942545 1
4.17651 0.146016 1.00969 0.071336 0
4.22226 0.19 1.07893 0.0942545 1
4.273 0.19 1.07893 0.0942545 1
4.32375 0.19 1.07893 0.0942545 1
4.3745 0.19 1.07893 0.0942545 1
4.42524 0.19 1.07893 0.0942545 1
4.47599 0.19 1.07893 0.0942545 1
4.52673 0.19 1.07893 0.0942545 1
4.57748 0.19 1.07893 0.0942545 1
4.62822 0.19 1.07893 0.0942545 1
4.63822 0.150917 0.953247 0.073841 0
4.67897 0.19 1.07893 0.0942545 1
4.72971 0.19 1.07893 0.0942545 1
4.78046 0.19 1.07893 0.0942545 1
4.8312 0.19 1.07893 0.0942545 1
4.88195 0.19 1.07893 0.0942545 1
4.9327 0.19 1.07893 0.0942545 1
4.98344 0.19 1.07893 0.0942545 1
5.03419 0.19 1.07893 0.0942545 1
5.08493 0.19 1.07893 0.0942545 1
5.09993 0.155581 0.915962 0.076346 0
5.13568 0.19 1.07893 0.0942545 1
5.18642 0.19 1.07893 0.0942545 1
5.23717 0.19 1.07893 0.0942545 1
5.28791 0.19 1.07893 0.0942545 1
5.33866 0.19 1.07893 0.0942545 1
5.38941 0.19 1.07893 0.0942545 1
5.44015 0.19 1.07893 0.0942545 1
5.4909 0.19 1.07893 0.0942545 1
5.54164 0.19 1.07893 0.0942545 1
5.56164 0.160112 0.900282 0.078851 0
5.59239 0.19 1.07893 0.0942545 1
5.64313 0.19 1.07893 0.0942545 1
5.69388 0.19 1.07893 0.0942545 1
5.74462 0.19 1.07893 0.0942545 1
5.79537 0.19 1.07893 0.0942545 1
5.84612 0.19 1.07893 0.0942545 1
5.89686 0.19 1.07893 0.0942545 1
5.94761 0.19 1.07893 0.0942545 1
5.99835 0.19 1.07893 0.0942545 1
6.02335 0.164618 0.905201 0.081356 0
6.0491 0.19 1.07893 0.0942545 1
6.09984 0.19 1.07893 0.0942545 1
6.15059 0.19 1.07893 0.0942545 1
6.20133 0.19 1.07893 0.0942545 1
6.25208 0.19 1.07893 0.0942545 1
6.30282 0.19 1.07893 0.0942545 1
6.35357 0.19 1.07893 0.0942545 1
6.40432 0.19 1.07893 0.0942545 1
6.45506 0.19 1.07893 0.0942545 1
