t x v M dripped?
0 0 0 0.01 0
0.166414 0.19 0.949466 0.093573 1
0.213399 0.19 1.17075 0.0949581 1
0.266738 0.19 0.984824 0.0939515 1
0.314202 0.19 1.13865 0.0946565 1
0.36664 0.19 1.02392 0.0940461 1
0.415442 0.19 1.11923 0.0944806 1
0.467365 0.19 1.04653 0.0941199 1
0.482365 0.156893 0.871397 0.0770281 0
0.516927 0.19 1.10536 0.0943852 1
0.568433 0.19 1.06021 0.0941687 1
0.618458 0.19 1.09625 0.0943316 1
0.669676 0.19 1.06841 0.0942006 1
0.719977 0.19 1.09044 0.0943007 1
0.771008 0.19 1.07335 0.0942211 1
0.821475 0.19 1.08681 0.0942824 1
0.872387 0.19 1.07634 0.0942339 1
0.922954 0.19 1.08457 0.0942715 1
0.947954 0.164468 0.911517 0.0812656 0
0.973793 0.19 1.07815 0.0942419 1
1.02442 0.19 1.08318 0.0942649 1
1.07521 0.19 1.07926 0.0942469 1
1.12588 0.19 1.08233 0.094261 1
1.17664 0.19 1.07993 0.0942499 1
1.22733 0.19 1.08181 0.0942585 1
1.27808 0.19 1.08034 0.0942518 1
1.32878 0.19 1.08149 0.0942571 1
1.37951 0.19 1.08059 0.0942529 1
1.40951 0.169171 0.930358 0.0838567 0
1.43022 0.19 1.08129 0.0942561 1
1.48095 0.19 1.08074 0.0942536 1
1.53166 0.19 1.08117 0.0942556 1
1.58239 0.19 1.08084 0.0942541 1
1.63311 0.19 1.0811 0.0942553 1
1.68383 0.19 1.0809 0.0942543 1
1.73455 0.19 1.08106 0.0942551 1
1.78527 0.19 1.08093 0.0942545 1
1.83599 0.19 1.08103 0.0942549 1
1.87099 0.173892 0.963837 0.0863588 0
1.88671 0.19 1.08095 0.0942546 1
1.93743 0.19 1.08101 0.0942549 1
1.98816 0.19 1.08097 0.0942546 1
2.03888 0.19 1.081 0.0942548 1
2.0896 0.19 1.08097 0.0942547 1
2.14032 0.19 1.081 0.0942548 1
2.19104 0.19 1.08098 0.0942547 1
2.24176 0.19 1.08099 0.0942548 1
2.29248 0.19 1.08098 0.0942547 1
2.33248 0.178809 1.00295 0.0888708 0
2.3432 0.19 1.08099 0.0942547 1
2.39392 0.19 1.08098 0.0942547 1
2.44464 0.19 1.08099 0.0942547 1
2.49536 0.19 1.08098 0.0942547 1
2.54609 0.19 1.08099 0.0942547 1
2.59681 0.19 1.08098 0.0942547 1
2.64753 0.19 1.08099 0.0942547 1
2.69825 0.19 1.08099 0.0942547 1
2.74897 0.19 1.08099 0.0942547 1
2.79397 0.183923 1.04213 0.0913817 0
2.79969 0.19 1.08099 0.0942547 1
2.85041 0.19 1.08099 0.0942547 1
2.90113 0.19 1.08099 0.0942547 1
2.95185 0.19 1.08099 0.0942547 1
3.00257 0.19 1.08099 0.0942547 1
3.05329 0.19 1.08099 0.0942547 1
3.10401 0.19 1.08099 0.0942547 1
3.15474 0.19 1.08099 0.0942547 1
3.20546 0.19 1.08099 0.0942547 1
3.25546 0.189222 1.07663 0.0938927 0
3.25618 0.19 1.08099 0.0942547 1
3.3069 0.19 1.08099 0.0942547 1
3.35762 0.19 1.08099 0.0942547 1
3.40834 0.19 1.08099 0.0942547 1
3.45906 0.19 1.08099 0.0942547 1
3.50978 0.19 1.08099 0.0942547 1
3.5605 0.19 1.08099 0.0942547 1
3.61122 0.19 1.08099 0.0942547 1
3.66194 0.19 1.08099 0.0942547 1
3.71694 0.194675 1.10291 0.0964037 0
3.71266 0.19 1.08099 0.0942547 1
3.76339 0.19 1.08099 0.0942547 1
3.81411 0.19 1.08099 0.0942547 1
3.86483 0.19 1.08099 0.0942547 1
3.91555 0.19 1.08099 0.0942547 1
3.96627 0.19 1.08099 0.0942547 1
4.01699 0.19 1.08099 0.0942547 1
4.06771 0.19 1.08099 0.0942547 1
4.11843 0.19 1.08099 0.0942547 1
4.16915 0.19 1.08099 0.0942547 1
4.17415 0.145903 1.01225 0.0712937 0
4.21987 0.19 1.08099 0.0942547 1
4.27059 0.19 1.08099 0.0942547 1
4.32132 0.19 1.08099 0.0942547 1
4.37204 0.19 1.08099 0.0942547 1
4.42276 0.19 1.08099 0.0942547 1
4.47348 0.19 1.08099 0.0942547 1
4.5242 0.19 1.08099 0.0942547 1
4.57492 0.19 1.08099 0.0942547 1
4.62564 0.19 1.08099 0.0942547 1
4.63564 0.150817 0.956242 0.0738047 0
4.67636 0.19 1.08099 0.0942547 1
4.72708 0.19 1.08099 0.0942547 1
4.7778 0.19 1.08099 0.0942547 1
4.82852 0.19 1.08099 0.0942547 1
4.87924 0.19 1.08099 0.0942547 1
4.92997 0.19 1.08099 0.0942547 1
4.98069 0.19 1.08099 0.0942547 1
5.03141 0.19 1.08099 0.0942547 1
5.08213 0.19 1.08099 0.0942547 1
5.09713 0.155497 0.919279 0.0763157 0
5.13285 0.19 1.08099 0.0942547 1
5.18357 0.19 1.08099 0.0942547 1
5.23429 0.19 1.08099 0.0942547 1
5.28501 0.19 1.08099 0.0942547 1
5.33573 0.19 1.08099 0.0942547 1
5.38645 0.19 1.08099 0.0942547 1
5.43717 0.19 1.08099 0.0942547 1
5.48789 0.19 1.08099 0.0942547 1
5.53862 0.19 1.08099 0.0942547 1
5.55862 0.160046 0.903773 0.0788267 0
5.58934 0.19 1.08099 0.0942547 1
5.64006 0.19 1.08099 0.0942547 1
5.69078 0.19 1.08099 0.0942547 1
5.7415 0.19 1.08099 0.0942547 1
5.79222 0.19 1.08099 0.0942547 1
5.84294 0.19 1.08099 0.0942547 1
5.89366 0.19 1.08099 0.0942547 1
5.94438 0.19 1.08099 0.0942547 1
5.9951 0.19 1.08099 0.0942547 1
6.0201 0.164569 0.90871 0.0813377 0
6.04582 0.19 1.08099 0.0942547 1
6.09654 0.19 1.08099 0.0942547 1
6.14727 0.19 1.08099 0.0942547 1
6.19799 0.19 1.08099 0.0942547 1
