t x v M dripped?
0 0 0 0.01 0
0.165679 0.19 0.952916 0.0935354 1
0.212729 0.19 1.17707 0.0949751 1
0.266122 0.19 0.985083 0.0939478 1
0.313446 0.19 1.14376 0.0946721 1
0.365882 0.19 1.02512 0.0940395 1
0.414578 0.19 1.12422 0.0944915 1
0.466502 0.19 1.04823 0.0941145 1
0.481502 0.156825 0.87454 0.0770141 0
0.51597 0.19 1.11006 0.0943929 1
0.567472 0.19 1.06237 0.0941644 1
0.617416 0.19 1.10064 0.094337 1
0.668622 0.19 1.07094 0.0941974 1
0.718855 0.19 1.09458 0.0943045 1
0.769867 0.19 1.07616 0.0942188 1
0.820273 0.19 1.09074 0.0942851 1
0.87116 0.19 1.07934 0.0942324 1
0.921672 0.19 1.08834 0.0942734 1
0.951672 0.169008 0.937342 0.083749 0
0.972482 0.19 1.08129 0.0942409 1
1.02306 0.19 1.08685 0.0942663 1
1.07382 0.19 1.08249 0.0942463 1
1.12443 0.19 1.08592 0.094262 1
1.17516 0.19 1.08323 0.0942496 1
1.22581 0.19 1.08535 0.0942593 1
1.27652 0.19 1.08368 0.0942517 1
1.32717 0.19 1.08499 0.0942577 1
1.37787 0.19 1.08396 0.0942529 1
1.41287 0.173879 0.969173 0.0863583 0
1.42854 0.19 1.08477 0.0942566 1
1.47923 0.19 1.08414 0.0942537 1
1.5299 0.19 1.08464 0.094256 1
1.58059 0.19 1.08424 0.0942542 1
1.63126 0.19 1.08455 0.0942556 1
1.68195 0.19 1.08431 0.0942545 1
1.73262 0.19 1.0845 0.0942554 1
1.7833 0.19 1.08435 0.0942547 1
1.83398 0.19 1.08447 0.0942552 1
1.87398 0.178807 1.00768 0.0888691 0
1.88466 0.19 1.08437 0.0942548 1
1.93534 0.19 1.08445 0.0942552 1
1.98602 0.19 1.08439 0.0942549 1
2.0367 0.19 1.08444 0.0942551 1
2.08738 0.19 1.0844 0.0942549 1
2.13806 0.19 1.08443 0.0942551 1
2.18874 0.19 1.08441 0.094255 1
2.23942 0.19 1.08442 0.094255 1
2.2901 0.19 1.08441 0.094255 1
2.3351 0.183944 1.04637 0.0913912 0
2.34078 0.19 1.08442 0.094255 1
2.39146 0.19 1.08441 0.094255 1
2.44214 0.19 1.08442 0.094255 1
2.49282 0.19 1.08441 0.094255 1
2.5435 0.19 1.08442 0.094255 1
2.59418 0.19 1.08441 0.094255 1
2.64486 0.19 1.08442 0.094255 1
2.69554 0.19 1.08441 0.094255 1
2.74622 0.19 1.08442 0.094255 1
2.79622 0.189264 1.08036 0.0939121 0
2.79691 0.19 1.08441 0.094255 1
2.84759 0.19 1.08442 0.094255 1
2.89827 0.19 1.08442 0.094255 1
2.94895 0.19 1.08442 0.094255 1
2.99963 0.19 1.08442 0.094255 1
3.05031 0.19 1.08442 0.094255 1
3.10099 0.19 1.08442 0.094255 1
3.15167 0.19 1.08442 0.094255 1
3.20235 0.19 1.08442 0.094255 1
3.25735 0.194734 1.10624 0.0964331 0
3.25303 0.19 1.08442 0.094255 1
3.30371 0.19 1.08442 0.094255 1
3.35439 0.19 1.08442 0.094255 1
3.40507 0.19 1.08442 0.094255 1
3.45575 0.19 1.08442 0.094255 1
3.50643 0.19 1.08442 0.094255 1
3.55711 0.19 1.08442 0.094255 1
3.60779 0.19 1.08442 0.094255 1
3.65847 0.19 1.08442 0.094255 1
3.70915 0.19 1.08442 0.094255 1
3.71415 0.145713 1.01652 0.0712231 0
3.75983 0.19 1.08442 0.094255 1
3.81051 0.19 1.08442 0.094255 1
3.86119 0.19 1.08442 0.094255 1
3.91187 0.19 1.08442 0.094255 1
3.96255 0.19 1.08442 0.094255 1
4.01323 0.19 1.08442 0.094255 1
4.06391 0.19 1.08442 0.094255 1
4.11459 0.19 1.08442 0.094255 1
4.16527 0.19 1.08442 0.094255 1
4.17527 0.150651 0.961243 0.0737441 0
4.21595 0.19 1.08442 0.094255 1
4.26663 0.19 1.08442 0.094255 1
4.31731 0.19 1.08442 0.094255 1
4.36799 0.19 1.08442 0.094255 1
4.41867 0.19 1.08442 0.094255 1
4.46935 0.19 1.08442 0.094255 1
4.52003 0.19 1.08442 0.094255 1
4.57071 0.19 1.08442 0.094255 1
4.62139 0.19 1.08442 0.094255 1
4.63639 0.155357 0.924817 0.0762651 0
4.67207 0.19 1.08442 0.094255 1
4.72275 0.19 1.08442 0.094255 1
4.77343 0.19 1.08442 0.094255 1
4.82411 0.19 1.08442 0.094255 1
4.87479 0.19 1.08442 0.094255 1
4.92547 0.19 1.08442 0.094255 1
4.97615 0.19 1.08442 0.094255 1
5.02683 0.19 1.08442 0.094255 1
5.07751 0.19 1.08442 0.094255 1
5.09751 0.159934 0.9096 0.0787861 0
5.12819 0.19 1.08442 0.094255 1
5.17887 0.19 1.08442 0.094255 1
5.22955 0.19 1.08442 0.094255 1
5.28023 0.19 1.08442 0.094255 1
5.33091 0.19 1.08442 0.094255 1
5.38159 0.19 1.08442 0.094255 1
5.43227 0.19 1.08442 0.094255 1
5.48295 0.19 1.08442 0.094255 1
5.53363 0.19 1.08442 0.094255 1
5.55863 0.164487 0.914564 0.0813071 0
5.58431 0.19 1.08442 0.094255 1
5.63499 0.19 1.08442 0.094255 1
5.68567 0.19 1.08442 0.094255 1
5.73635 0.19 1.08442 0.094255 1
5.78703 0.19 1.08442 0.094255 1
5.83771 0.19 1.08442 0.094255 1
5.88839 0.19 1.08442 0.094255 1
5.93907 0.19 1.08442 0.094255 1
5.98975 0.19 1.08442 0.094255 1
6.01975 0.169108 0.936124 0.0838281 0
6.04043 0.19 1.08442 0.094255 1
6.09111 0.19 1.08442 0.094255 1
6.14179 0.19 1.08442 0.094255 1
6.19247 0.19 1.08442 0.094255 1
6.24315 0.19 1.08442 0.094255 1
6.29383 0.19 1.08442 0.094255 1
6.34451 0.19 1.08442 0.094255 1
6.39519 0.19 1.08442 0.094255 1
6.44587 0.19 1.08442 0.094255 1
6.48087 0.173867 0.969103 0.0863491 0
6.49655 0.19 1.08442 0.094255 1
6.54723 0.19 1.08442 0.094255 1
6.59791 0.19 1.08442 0.094255 1
6.64859 0.19 1.08442 0.094255 1
6.69927 0.19 1.08442 0.094255 1
6.74995 0.19 1.08442 0.094255 1
6.80063 0.19 1.08442 0.094255 1
6.85131 0.19 1.08442 0.094255 1
6.90199 0.19 1.08442 0.094255 1
6.94199 0.178808 1.00771 0.0888701 0
6.95267 0.19 1.08442 0.094255 1
7.00335 0.19 1.08442 0.094255 1
7.05403 0.19 1.08442 0.094255 1
7.10471 0.19 1.08442 0.094255 1
7.15539 0.19 1.08442 0.094255 1
7.20607 0.19 1.08442 0.094255 1
7.25675 0.19 1.08442 0.094255 1
7.30743 0.19 1.08442 0.094255 1
7.35811 0.19 1.08442 0.094255 1
7.40311 0.183944 1.04636 0.0913911 0
7.40879 0.19 1.08442 0.094255 1
7.45947 0.19 1.08442 0.094255 1
7.51015 0.19 1.08442 0.094255 1
7.56083 0.19 1.08442 0.094255 1
7.61151 0.19 1.08442 0.094255 1
7.66219 0.19 1.08442 0.094255 1
7.71287 0.19 1.08442 0.094255 1
7.76355 0.19 1.08442 0.094255 1
7.81423 0.19 1.08442 0.094255 1
7.86423 0.189264 1.08036 0.0939121 0
7.86491 0.19 1.08442 0.094255 1
7.91559 0.19 1.08442 0.094255 1
7.96627 0.19 1.08442 0.094255 1
8.01695 0.19 1.08442 0.094255 1
8.06763 0.19 1.08442 0.094255 1
8.11831 0.19 1.08442 0.094255 1
8.16899 0.19 1.08442 0.094255 1
8.21967 0.19 1.08442 0.094255 1
8.27035 0.19 1.08442 0.094255 1
8.32535 0.194734 1.10624 0.0964331 0
8.32103 0.19 1.08442 0.094255 1
8.37171 0.19 1.08442 0.094255 1
8.42239 0.19 1.08442 0.094255 1
8.47307 0.19 1.08442 0.094255 1
8.52375 0.19 1.08442 0.094255 1
8.57443 0.19 1.08442 0.094255 1
8.62511 0.19 1.08442 0.094255 1
8.67579 0.19 1.08442 0.094255 1
8.72647 0.19 1.08442 0.094255 1
8.77715 0.19 1.08442 0.094255 1
8.78215 0.145713 1.01652 0.0712231 0
8.82784 0.19 1.08442 0.094255 1
8.87852 0.19 1.08442 0.094255 1
8.9292 0.19 1.08442 0.094255 1
8.97988 0.19 1.08442 0.094255 1
9.03056 0.19 1.08442 0.094255 1
9.08124 0.19 1.08442 0.094255 1
9.13192 0.19 1.08442 0.094255 1
9.1826 0.19 1.08442 0.094255 1
9.23328 0.19 1.08442 0.094255 1
9.24328 0.150651 0.961243 0.0737441 0
9.28396 0.19 1.08442 0.094255 1
9.33464 0.19 1.08442 0.094255 1
9.38532 0.19 1.08442 0.094255 1
9.436 0.19 1.08442 0.094255 1
9.48668 0.19 1.08442 0.094255 1
9.53736 0.19 1.08442 0.094255 1
9.58804 0.19 1.08442 0.094255 1
9.63872 0.19 1.08442 0.094255 1
9.6894 0.19 1.08442 0.094255 1
9.7044 0.155357 0.924817 0.0762651 0
9.74008 0.19 1.08442 0.094255 1
9.79076 0.19 1.08442 0.094255 1
9.84144 0.19 1.08442 0.094255 1
9.89212 0.19 1.08442 0.094255 1
9.9428 0.19 1.08442 0.094255 1
9.99348 0.19 1.08442 0.094255 1
10.0442 0.19 1.08442 0.094255 1
10.0948 0.19 1.08442 0.094255 1
10.1455 0.19 1.08442 0.094255 1
10.1655 0.159934 0.9096 0.0787861 0
10.1962 0.19 1.08442 0.094255 1
10.2469 0.19 1.08442 0.094255 1
10.2976 0.19 1.08442 0.094255 1
10.3482 0.19 1.08442 0.094255 1
10.3989 0.19 1.08442 0.094255 1
10.4496 0.19 1.08442 0.094255 1
10.5003 0.19 1.08442 0.094255 1
10.551 0.19 1.08442 0.094255 1
10.6016 0.19 1.08442 0.094255 1
10.6266 0.164487 0.914564 0.0813071 0
10.6523 0.19 1.08442 0.094255 1
10.703 0.19 1.08442 0.094255 1
10.7537 0.19 1.08442 0.094255 1
10.8044 0.19 1.08442 0.094255 1
10.855 0.19 1.08442 0.094255 1
10.9057 0.19 1.08442 0.094255 1
10.9564 0.19 1.08442 0.094255 1
11.0071 0.19 1.08442 0.094255 1
11.0578 0.19 1.08442 0.094255 1
11.0878 0.169108 0.936124 0.0838281 0
11.1084 0.19 1.08442 0.094255 1
11.1591 0.19 1.08442 0.094255 1
11.2098 0.19 1.08442 0.094255 1
11.2605 0.19 1.08442 0.094255 1
11.3112 0.19 1.08442 0.094255 1
11.3618 0.19 1.08442 0.094255 1
11.4125 0.19 1.08442 0.094255 1
11.4632 0.19 1.08442 0.094255 1
11.5139 0.19 1.08442 0.094255 1
11.5489 0.173867 0.969103 0.0863491 0
11.5646 0.19 1.08442 0.094255 1
11.6152 0.19 1.08442 0.094255 1
11.6659 0.19 1.08442 0.094255 1
11.7166 0.19 1.08442 0.094255 1
11.7673 0.19 1.08442 0.094255 1
11.818 0.19 1.08442 0.094255 1
11.8686 0.19 1.08442 0.094255 1
11.9193 0.19 1.08442 0.094255 1
11.97 0.19 1.08442 0.094255 1
