t x v M dripped?
0 0 0 0.01 0
0.166931 0.19 0.947356 0.0935992 1
0.213883 0.19 1.16628 0.0949447 1
0.267184 0.19 0.984759 0.0939548 1
0.31475 0.19 1.135 0.094645 1
0.367188 0.19 1.02315 0.0940509 1
0.416068 0.19 1.11569 0.0944727 1
0.467988 0.19 1.04536 0.0941238 1
0.482988 0.15694 0.869233 0.0770374 0
0.517618 0.19 1.10206 0.0943797 1
0.569126 0.19 1.05869 0.0941717 1
0.619207 0.19 1.09317 0.0943278 1
0.670433 0.19 1.06663 0.0942029 1
0.720783 0.19 1.08756 0.0942981 1
0.771828 0.19 1.07138 0.0942226 1
0.822337 0.19 1.08407 0.0942806 1
0.873268 0.19 1.07423 0.0942349 1
0.923873 0.19 1.08193 0.0942702 1
0.948873 0.164532 0.907234 0.0812917 0
0.974733 0.19 1.07595 0.0942425 1
1.02539 0.19 1.08062 0.094264 1
1.07621 0.19 1.07699 0.0942472 1
1.12691 0.19 1.07983 0.0942603 1
1.1777 0.19 1.07762 0.0942501 1
1.22842 0.19 1.07934 0.094258 1
1.27919 0.19 1.078 0.0942518 1
1.32992 0.19 1.07904 0.0942566 1
1.38069 0.19 1.07823 0.0942529 1
1.41069 0.169207 0.926419 0.0838703 0
1.43142 0.19 1.07886 0.0942558 1
1.48218 0.19 1.07837 0.0942535 1
1.53293 0.19 1.07876 0.0942553 1
1.58368 0.19 1.07846 0.0942539 1
1.63443 0.19 1.07869 0.094255 1
1.68518 0.19 1.07851 0.0942541 1
1.73593 0.19 1.07865 0.0942548 1
1.78668 0.19 1.07854 0.0942543 1
1.83743 0.19 1.07862 0.0942547 1
1.87243 0.17391 0.960156 0.0863663 0
1.88818 0.19 1.07856 0.0942544 1
1.93892 0.19 1.07861 0.0942546 1
1.98968 0.19 1.07857 0.0942544 1
2.04042 0.19 1.0786 0.0942546 1
2.09117 0.19 1.07858 0.0942545 1
2.14192 0.19 1.0786 0.0942546 1
2.19267 0.19 1.07858 0.0942545 1
2.24342 0.19 1.07859 0.0942545 1
2.29417 0.19 1.07858 0.0942545 1
2.33417 0.17881 0.999613 0.0888712 0
2.34492 0.19 1.07859 0.0942545 1
2.39567 0.19 1.07858 0.0942545 1
2.44642 0.19 1.07859 0.0942545 1
2.49717 0.19 1.07859 0.0942545 1
2.54792 0.19 1.07859 0.0942545 1
2.59867 0.19 1.07859 0.0942545 1
2.64942 0.19 1.07859 0.0942545 1
2.70017 0.19 1.07859 0.0942545 1
2.75092 0.19 1.07859 0.0942545 1
2.79592 0.183907 1.03917 0.0913751 0
2.80167 0.19 1.07859 0.0942545 1
2.85242 0.19 1.07859 0.0942545 1
2.90317 0.19 1.07859 0.0942545 1
2.95392 0.19 1.07859 0.0942545 1
3.00467 0.19 1.07859 0.0942545 1
3.05542 0.19 1.07859 0.0942545 1
3.10617 0.19 1.07859 0.0942545 1
3.15692 0.19 1.07859 0.0942545 1
3.20767 0.19 1.07859 0.0942545 1
3.25767 0.189193 1.07401 0.0938791 0
3.25842 0.19 1.07859 0.0942545 1
3.30917 0.19 1.07859 0.0942545 1
3.35992 0.19 1.07859 0.0942545 1
3.41066 0.19 1.07859 0.0942545 1
3.46141 0.19 1.07859 0.0942545 1
3.51216 0.19 1.07859 0.0942545 1
3.56291 0.19 1.07859 0.0942545 1
3.61366 0.19 1.07859 0.0942545 1
3.66441 0.19 1.07859 0.0942545 1
3.71941 0.194634 1.10058 0.0963831 0
3.71516 0.19 1.07859 0.0942545 1
3.76591 0.19 1.07859 0.0942545 1
3.81666 0.19 1.07859 0.0942545 1
3.86741 0.19 1.07859 0.0942545 1
3.91816 0.19 1.07859 0.0942545 1
3.96891 0.19 1.07859 0.0942545 1
4.01966 0.19 1.07859 0.0942545 1
4.07041 0.19 1.07859 0.0942545 1
4.12116 0.19 1.07859 0.0942545 1
4.17191 0.19 1.07859 0.0942545 1
4.17691 0.146035 1.00927 0.0713431 0
4.22266 0.19 1.07859 0.0942545 1
4.27341 0.19 1.07859 0.0942545 1
4.32416 0.19 1.07859 0.0942545 1
4.37491 0.19 1.07859 0.0942545 1
4.42566 0.19 1.07859 0.0942545 1
4.47641 0.19 1.07859 0.0942545 1
4.52716 0.19 1.07859 0.0942545 1
4.57791 0.19 1.07859 0.0942545 1
4.62866 0.19 1.07859 0.0942545 1
4.63866 0.150933 0.952749 0.0738471 0
4.67941 0.19 1.07859 0.0942545 1
4.73016 0.19 1.07859 0.0942545 1
4.7809 0.19 1.07859 0.0942545 1
4.83165 0.19 1.07859 0.0942545 1
4.8824 0.19 1.07859 0.0942545 1
4.93315 0.19 1.07859 0.0942545 1
4.9839 0.19 1.07859 0.0942545 1
5.03465 0.19 1.07859 0.0942545 1
5.0854 0.19 1.07859 0.0942545 1
5.1004 0.155595 0.915409 0.0763511 0
5.13615 0.19 1.07859 0.0942545 1
5.1869 0.19 1.07859 0.0942545 1
5.23765 0.19 1.07859 0.0942545 1
5.2884 0.19 1.07859 0.0942545 1
5.33915 0.19 1.07859 0.0942545 1
5.3899 0.19 1.07859 0.0942545 1
5.44065 0.19 1.07859 0.0942545 1
5.4914 0.19 1.07859 0.0942545 1
5.54215 0.19 1.07859 0.0942545 1
5.56215 0.160124 0.899701 0.0788551 0
5.5929 0.19 1.07859 0.0942545 1
5.64365 0.19 1.07859 0.0942545 1
5.6944 0.19 1.07859 0.0942545 1
5.74515 0.19 1.07859 0.0942545 1
5.7959 0.19 1.07859 0.0942545 1
5.84665 0.19 1.07859 0.0942545 1
5.8974 0.19 1.07859 0.0942545 1
5.94815 0.19 1.07859 0.0942545 1
5.9989 0.19 1.07859 0.0942545 1
6.0239 0.164626 0.904617 0.0813591 0
6.04965 0.19 1.07859 0.0942545 1
6.10039 0.19 1.07859 0.0942545 1
6.15114 0.19 1.07859 0.0942545 1
6.20189 0.19 1.07859 0.0942545 1
6.25264 0.19 1.07859 0.0942545 1
6.30339 0.19 1.07859 0.0942545 1
6.35414 0.19 1.07859 0.0942545 1
6.40489 0.19 1.07859 0.0942545 1
6.45564 0.19 1.07859 0.0942545 1
6.48564 0.169198 0.926526 0.0838631 0
6.50639 0.19 1.07859 0.0942545 1
6.55714 0.19 1.07859 0.0942545 1
6.60789 0.19 1.07859 0.0942545 1
6.65864 0.19 1.07859 0.0942545 1
6.70939 0.19 1.07859 0.0942545 1
6.76014 0.19 1.07859 0.0942545 1
6.81089 0.19 1.07859 0.0942545 1
6.86164 0.19 1.07859 0.0942545 1
6.91239 0.19 1.07859 0.0942545 1
6.94739 0.173911 0.960162 0.0863671 0
6.96314 0.19 1.07859 0.0942545 1
7.01389 0.19 1.07859 0.0942545 1
7.06464 0.19 1.07859 0.0942545 1
7.11539 0.19 1.07859 0.0942545 1
7.16614 0.19 1.07859 0.0942545 1
7.21689 0.19 1.07859 0.0942545 1
7.26764 0.19 1.07859 0.0942545 1
7.31839 0.19 1.07859 0.0942545 1
7.36914 0.19 1.07859 0.0942545 1
7.40914 0.178809 0.999611 0.0888711 0
7.41989 0.19 1.07859 0.0942545 1
7.47063 0.19 1.07859 0.0942545 1
7.52138 0.19 1.07859 0.0942545 1
7.57213 0.19 1.07859 0.0942545 1
7.62288 0.19 1.07859 0.0942545 1
7.67363 0.19 1.07859 0.0942545 1
7.72438 0.19 1.07859 0.0942545 1
7.77513 0.19 1.07859 0.0942545 1
7.82588 0.19 1.07859 0.0942545 1
7.87088 0.183907 1.03917 0.0913751 0
7.87663 0.19 1.07859 0.0942545 1
7.92738 0.19 1.07859 0.0942545 1
7.97813 0.19 1.07859 0.0942545 1
8.02888 0.19 1.07859 0.0942545 1
8.07963 0.19 1.07859 0.0942545 1
8.13038 0.19 1.07859 0.0942545 1
8.18113 0.19 1.07859 0.0942545 1
8.23188 0.19 1.07859 0.0942545 1
8.28263 0.19 1.07859 0.0942545 1
8.33263 0.189193 1.07401 0.0938791 0
8.33338 0.19 1.07859 0.0942545 1
8.38413 0.19 1.07859 0.0942545 1
8.43488 0.19 1.07859 0.0942545 1
8.48563 0.19 1.07859 0.0942545 1
8.53638 0.19 1.07859 0.0942545 1
8.58713 0.19 1.07859 0.0942545 1
8.63788 0.19 1.07859 0.0942545 1
8.68863 0.19 1.07859 0.0942545 1
8.73938 0.19 1.07859 0.0942545 1
8.79438 0.194634 1.10058 0.0963831 0
8.79013 0.19 1.07859 0.0942545 1
8.84087 0.19 1.07859 0.0942545 1
8.89162 0.19 1.07859 0.0942545 1
8.94237 0.19 1.07859 0.0942545 1
8.99312 0.19 1.07859 0.0942545 1
9.04387 0.19 1.07859 0.0942545 1
9.09462 0.19 1.07859 0.0942545 1
9.14537 0.19 1.07859 0.0942545 1
9.19612 0.19 1.07859 0.0942545 1
9.24687 0.19 1.07859 0.0942545 1
9.25187 0.146035 1.00927 0.0713431 0
9.29762 0.19 1.07859 0.0942545 1
9.34837 0.19 1.07859 0.0942545 1
9.39912 0.19 1.07859 0.0942545 1
9.44987 0.19 1.07859 0.0942545 1
9.50062 0.19 1.07859 0.0942545 1
9.55137 0.19 1.07859 0.0942545 1
9.60212 0.19 1.07859 0.0942545 1
9.65287 0.19 1.07859 0.0942545 1
9.70362 0.19 1.07859 0.0942545 1
9.71362 0.150933 0.952749 0.0738471 0
9.75437 0.19 1.07859 0.0942545 1
9.80512 0.19 1.07859 0.0942545 1
9.85587 0.19 1.07859 0.0942545 1
9.90662 0.19 1.07859 0.0942545 1
9.95737 0.19 1.07859 0.0942545 1
10.0081 0.19 1.07859 0.0942545 1
10.0589 0.19 1.07859 0.0942545 1
10.1096 0.19 1.07859 0.0942545 1
10.1604 0.19 1.07859 0.0942545 1
10.1754 0.155595 0.915409 0.0763511 0
10.2111 0.19 1.07859 0.0942545 1
10.2619 0.19 1.07859 0.0942545 1
10.3126 0.19 1.07859 0.0942545 1
10.3634 0.19 1.07859 0.0942545 1
10.4141 0.19 1.07859 0.0942545 1
10.4649 0.19 1.07859 0.0942545 1
10.5156 0.19 1.07859 0.0942545 1
10.5664 0.19 1.07859 0.0942545 1
10.6171 0.19 1.07859 0.0942545 1
10.6371 0.160124 0.899701 0.0788551 0
10.6679 0.19 1.07859 0.0942545 1
10.7186 0.19 1.07859 0.0942545 1
10.7694 0.19 1.07859 0.0942545 1
10.8201 0.19 1.07859 0.0942545 1
10.8709 0.19 1.07859 0.0942545 1
10.9216 0.19 1.07859 0.0942545 1
10.9724 0.19 1.07859 0.0942545 1
11.0231 0.19 1.07859 0.0942545 1
11.0739 0.19 1.07859 0.0942545 1
11.0989 0.164626 0.904617 0.0813591 0
11.1246 0.19 1.07859 0.0942545 1
11.1754 0.19 1.07859 0.0942545 1
11.2261 0.19 1.07859 0.0942545 1
11.2769 0.19 1.07859 0.0942545 1
11.3276 0.19 1.07859 0.0942545 1
11.3784 0.19 1.07859 0.0942545 1
11.4291 0.19 1.07859 0.0942545 1
11.4799 0.19 1.07859 0.0942545 1
11.5306 0.19 1.07859 0.0942545 1
11.5606 0.169198 0.926526 0.0838631 0
11.5814 0.19 1.07859 0.0942545 1
11.6321 0.19 1.07859 0.0942545 1
11.6829 0.19 1.07859 0.0942545 1
11.7336 0.19 1.07859 0.0942545 1
11.7844 0.19 1.07859 0.0942545 1
11.8351 0.19 1.07859 0.0942545 1
11.8859 0.19 1.07859 0.0942545 1
11.9366 0.19 1.07859 0.0942545 1
11.9874 0.19 1.07859 0.0942545 1
12.0224 0.173911 0.960162 0.0863671 0
12.0381 0.19 1.07859 0.0942545 1
12.0889 0.19 1.07859 0.0942545 1
12.1396 0.19 1.07859 0.0942545 1
12.1904 0.19 1.07859 0.0942545 1
12.2411 0.19 1.07859 0.0942545 1
12.2918 0.19 1.07859 0.0942545 1
12.3426 0.19 1.07859 0.0942545 1
12.3933 0.19 1.07859 0.0942545 1
12.4441 0.19 1.07859 0.0942545 1
12.4841 0.178809 0.999611 0.0888711 0
12.4948 0.19 1.07859 0.0942545 1
12.5456 0.19 1.07859 0.0942545 1
12.5963 0.19 1.07859 0.0942545 1
12.6471 0.19 1.07859 0.0942545 1
12.6978 0.19 1.07859 0.0942545 1
12.7486 0.19 1.07859 0.0942545 1
12.7993 0.19 1.07859 0.0942545 1
12.8501 0.19 1.07859 0.0942545 1
12.9008 0.19 1.07859 0.0942545 1
12.9458 0.183907 1.03917 0.0913751 0
12.9516 0.19 1.07859 0.0942545 1
13.0023 0.19 1.07859 0.0942545 1
13.0531 0.19 1.07859 0.0942545 1
13.1038 0.19 1.07859 0.0942545 1
13.1546 0.19 1.07859 0.0942545 1
13.2053 0.19 1.07859 0.0942545 1
13.2561 0.19 1.07859 0.0942545 1
13.3068 0.19 1.07859 0.0942545 1
13.3576 0.19 1.07859 0.0942545 1
13.4076 0.189193 1.07401 0.0938791 0
13.4083 0.19 1.07859 0.0942545 1
13.4591 0.19 1.07859 0.0942545 1
13.5098 0.19 1.07859 0.0942545 1
13.5606 0.19 1.07859 0.0942545 1
13.6113 0.19 1.07859 0.0942545 1
13.6621 0.19 1.07859 0.0942545 1
13.7128 0.19 1.07859 0.0942545 1
13.7636 0.19 1.07859 0.0942545 1
13.8143 0.19 1.07859 0.0942545 1
13.8693 0.194634 1.10058 0.0963831 0
13.8651 0.19 1.07859 0.0942545 1
13.9158 0.19 1.07859 0.0942545 1
13.9666 0.19 1.07859 0.0942545 1
14.0173 0.19 1.07859 0.0942545 1
14.0681 0.19 1.07859 0.0942545 1
14.1188 0.19 1.07859 0.0942545 1
14.1696 0.19 1.07859 0.0942545 1
14.2203 0.19 1.07859 0.0942545 1
14.2711 0.19 1.07859 0.0942545 1
14.3218 0.19 1.07859 0.0942545 1
14.3268 0.146035 1.00927 0.0713431 0
14.3726 0.19 1.07859 0.0942545 1
14.4233 0.19 1.07859 0.0942545 1
14.4741 0.19 1.07859 0.0942545 1
14.5248 0.19 1.07859 0.0942545 1
14.5756 0.19 1.07859 0.0942545 1
14.6263 0.19 1.07859 0.0942545 1
14.6771 0.19 1.07859 0.0942545 1
14.7278 0.19 1.07859 0.0942545 1
14.7786 0.19 1.07859 0.0942545 1
14.7886 0.150933 0.952749 0.0738471 0
14.8293 0.19 1.07859 0.0942545 1
14.8801 0.19 1.07859 0.0942545 1
14.9308 0.19 1.07859 0.0942545 1
14.9816 0.19 1.07859 0.0942545 1
15.0323 0.19 1.07859 0.0942545 1
15.0831 0.19 1.07859 0.0942545 1
15.1338 0.19 1.07859 0.0942545 1
15.1846 0.19 1.07859 0.0942545 1
15.2353 0.19 1.07859 0.0942545 1
15.2503 0.155595 0.915409 0.0763511 0
15.2861 0.19 1.07859 0.0942545 1
15.3368 0.19 1.07859 0.0942545 1
15.3876 0.19 1.07859 0.0942545 1
15.4383 0.19 1.07859 0.0942545 1
15.4891 0.19 1.07859 0.0942545 1
