t x v M dripped?
0 0 0 0.01 0
0.166266 0.19 0.950114 0.0935655 1
0.213263 0.19 1.17202 0.0949617 1
0.266613 0.19 0.984859 0.0939507 1
0.314048 0.19 1.13968 0.0946597 1
0.366486 0.19 1.02415 0.0940447 1
0.415267 0.19 1.12023 0.0944828 1
0.46719 0.19 1.04687 0.0941188 1
0.48219 0.15688 0.87202 0.0770254 0
0.516733 0.19 1.10631 0.0943867 1
0.568238 0.19 1.06064 0.0941678 1
0.618247 0.19 1.09712 0.0943327 1
0.669462 0.19 1.06892 0.0942 1
0.71975 0.19 1.09127 0.0943014 1
0.770777 0.19 1.07391 0.0942206 1
0.821232 0.19 1.0876 0.094283 1
0.872139 0.19 1.07694 0.0942336 1
0.922695 0.19 1.08532 0.0942719 1
0.947695 0.16445 0.912743 0.0812581 0
0.973528 0.19 1.07878 0.0942417 1
1.02414 0.19 1.08391 0.0942652 1
1.07493 0.19 1.0799 0.0942467 1
1.12559 0.19 1.08305 0.0942612 1
1.17634 0.19 1.08059 0.0942498 1
1.22702 0.19 1.08252 0.0942587 1
1.27776 0.19 1.08101 0.0942518 1
1.32845 0.19 1.08219 0.0942572 1
1.37918 0.19 1.08127 0.0942529 1
1.40918 0.169161 0.931484 0.0838528 0
1.42988 0.19 1.08199 0.0942563 1
1.4806 0.19 1.08142 0.0942536 1
1.53131 0.19 1.08187 0.0942557 1
1.58203 0.19 1.08152 0.0942541 1
1.63273 0.19 1.08179 0.0942553 1
1.68345 0.19 1.08158 0.0942544 1
1.73416 0.19 1.08174 0.0942551 1
1.78488 0.19 1.08161 0.0942545 1
1.83559 0.19 1.08172 0.094255 1
1.87059 0.173887 0.964889 0.0863567 0
1.8863 0.19 1.08164 0.0942546 1
1.93701 0.19 1.0817 0.0942549 1
1.98773 0.19 1.08165 0.0942547 1
2.03844 0.19 1.08169 0.0942549 1
2.08915 0.19 1.08166 0.0942547 1
2.13986 0.19 1.08168 0.0942548 1
2.19058 0.19 1.08166 0.0942548 1
2.24129 0.19 1.08168 0.0942548 1
2.292 0.19 1.08167 0.0942548 1
2.332 0.178809 1.0039 0.0888707 0
2.34271 0.19 1.08168 0.0942548 1
2.39343 0.19 1.08167 0.0942548 1
2.44414 0.19 1.08167 0.0942548 1
2.49485 0.19 1.08167 0.0942548 1
2.54557 0.19 1.08167 0.0942548 1
2.59628 0.19 1.08167 0.0942548 1
2.64699 0.19 1.08167 0.0942548 1
2.6977 0.19 1.08167 0.0942548 1
2.74842 0.19 1.08167 0.0942548 1
2.79342 0.183927 1.04298 0.0913836 0
2.79913 0.19 1.08167 0.0942548 1
2.84984 0.19 1.08167 0.0942548 1
2.90055 0.19 1.08167 0.0942548 1
2.95127 0.19 1.08167 0.0942548 1
3.00198 0.19 1.08167 0.0942548 1
3.05269 0.19 1.08167 0.0942548 1
3.1034 0.19 1.08167 0.0942548 1
3.15412 0.19 1.08167 0.0942548 1
3.20483 0.19 1.08167 0.0942548 1
3.25483 0.189231 1.07737 0.0938966 0
3.25554 0.19 1.08167 0.0942548 1
3.30626 0.19 1.08167 0.0942548 1
3.35697 0.19 1.08167 0.0942548 1
3.40768 0.19 1.08167 0.0942548 1
3.45839 0.19 1.08167 0.0942548 1
3.50911 0.19 1.08167 0.0942548 1
3.55982 0.19 1.08167 0.0942548 1
3.61053 0.19 1.08167 0.0942548 1
3.66124 0.19 1.08167 0.0942548 1
3.71624 0.194687 1.10358 0.0964096 0
3.71196 0.19 1.08167 0.0942548 1
3.76267 0.19 1.08167 0.0942548 1
3.81338 0.19 1.08167 0.0942548 1
3.86409 0.19 1.08167 0.0942548 1
3.91481 0.19 1.08167 0.0942548 1
3.96552 0.19 1.08167 0.0942548 1
4.01623 0.19 1.08167 0.0942548 1
4.06695 0.19 1.08167 0.0942548 1
4.11766 0.19 1.08167 0.0942548 1
4.16837 0.19 1.08167 0.0942548 1
4.17337 0.145865 1.0131 0.0712796 0
4.21908 0.19 1.08167 0.0942548 1
4.2698 0.19 1.08167 0.0942548 1
4.32051 0.19 1.08167 0.0942548 1
4.37122 0.19 1.08167 0.0942548 1
4.42193 0.19 1.08167 0.0942548 1
4.47265 0.19 1.08167 0.0942548 1
4.52336 0.19 1.08167 0.0942548 1
4.57407 0.19 1.08167 0.0942548 1
4.62478 0.19 1.08167 0.0942548 1
4.63478 0.150784 0.957242 0.0737926 0
4.6755 0.19 1.08167 0.0942548 1
4.72621 0.19 1.08167 0.0942548 1
4.77692 0.19 1.08167 0.0942548 1
4.82764 0.19 1.08167 0.0942548 1
4.87835 0.19 1.08167 0.0942548 1
4.92906 0.19 1.08167 0.0942548 1
4.97977 0.19 1.08167 0.0942548 1
5.03049 0.19 1.08167 0.0942548 1
5.0812 0.19 1.08167 0.0942548 1
5.0962 0.155469 0.920386 0.0763056 0
5.13191 0.19 1.08167 0.0942548 1
5.18262 0.19 1.08167 0.0942548 1
5.23334 0.19 1.08167 0.0942548 1
5.28405 0.19 1.08167 0.0942548 1
5.33476 0.19 1.08167 0.0942548 1
5.38547 0.19 1.08167 0.0942548 1
5.43619 0.19 1.08167 0.0942548 1
5.4869 0.19 1.08167 0.0942548 1
5.53761 0.19 1.08167 0.0942548 1
5.55761 0.160023 0.904938 0.0788186 0
5.58833 0.19 1.08167 0.0942548 1
5.63904 0.19 1.08167 0.0942548 1
