t x v M dripped?
0 0 0 0.01 0
0.16634 0.19 0.949787 0.0935693 1
0.213331 0.19 1.17139 0.0949599 1
0.266675 0.19 0.98484 0.0939511 1
0.314125 0.19 1.13916 0.0946581 1
0.366563 0.19 1.02404 0.0940454 1
0.415354 0.19 1.11973 0.0944817 1
0.467277 0.19 1.0467 0.0941194 1
0.482277 0.156887 0.871709 0.0770267 0
0.51683 0.19 1.10584 0.094386 1
0.568335 0.19 1.06042 0.0941683 1
0.618352 0.19 1.09668 0.0943321 1
0.669569 0.19 1.06867 0.0942003 1
0.719863 0.19 1.09085 0.094301 1
0.770892 0.19 1.07363 0.0942208 1
0.821353 0.19 1.08721 0.0942827 1
0.872263 0.19 1.07664 0.0942338 1
0.922824 0.19 1.08494 0.0942717 1
0.947824 0.164459 0.91213 0.0812619 0
0.97366 0.19 1.07847 0.0942418 1
1.02428 0.19 1.08355 0.0942651 1
1.07507 0.19 1.07958 0.0942468 1
1.12573 0.19 1.08269 0.0942611 1
1.17649 0.19 1.08026 0.0942499 1
1.22717 0.19 1.08216 0.0942586 1
1.27792 0.19 1.08067 0.0942518 1
1.32861 0.19 1.08184 0.0942571 1
1.37935 0.19 1.08093 0.0942529 1
1.40935 0.169166 0.930921 0.0838548 0
1.43005 0.19 1.08164 0.0942562 1
1.48078 0.19 1.08108 0.0942536 1
1.53149 0.19 1.08152 0.0942556 1
1.58221 0.19 1.08118 0.0942541 1
1.63292 0.19 1.08145 0.0942553 1
1.68364 0.19 1.08124 0.0942543 1
1.73436 0.19 1.0814 0.0942551 1
1.78507 0.19 1.08127 0.0942545 1
1.83579 0.19 1.08137 0.094255 1
1.87079 0.173889 0.964363 0.0863578 0
1.88651 0.19 1.08129 0.0942546 1
1.93722 0.19 1.08136 0.0942549 1
1.98794 0.19 1.08131 0.0942547 1
2.03866 0.19 1.08135 0.0942548 1
2.08937 0.19 1.08132 0.0942547 1
2.14009 0.19 1.08134 0.0942548 1
2.19081 0.19 1.08132 0.0942547 1
2.24152 0.19 1.08134 0.0942548 1
2.29224 0.19 1.08132 0.0942547 1
2.33224 0.178809 1.00343 0.0888708 0
2.34296 0.19 1.08133 0.0942548 1
2.39367 0.19 1.08133 0.0942547 1
2.44439 0.19 1.08133 0.0942548 1
2.49511 0.19 1.08133 0.0942548 1
2.54582 0.19 1.08133 0.0942548 1
2.59654 0.19 1.08133 0.0942548 1
2.64726 0.19 1.08133 0.0942548 1
2.69798 0.19 1.08133 0.0942548 1
2.74869 0.19 1.08133 0.0942548 1
2.79369 0.183925 1.04256 0.0913827 0
2.79941 0.19 1.08133 0.0942548 1
2.85013 0.19 1.08133 0.0942548 1
2.90084 0.19 1.08133 0.0942548 1
2.95156 0.19 1.08133 0.0942548 1
3.00228 0.19 1.08133 0.0942548 1
3.05299 0.19 1.08133 0.0942548 1
3.10371 0.19 1.08133 0.0942548 1
3.15443 0.19 1.08133 0.0942548 1
3.20514 0.19 1.08133 0.0942548 1
3.25514 0.189226 1.077 0.0938947 0
3.25586 0.19 1.08133 0.0942548 1
3.30658 0.19 1.08133 0.0942548 1
3.35729 0.19 1.08133 0.0942548 1
3.40801 0.19 1.08133 0.0942548 1
3.45873 0.19 1.08133 0.0942548 1
3.50944 0.19 1.08133 0.0942548 1
3.56016 0.19 1.08133 0.0942548 1
3.61088 0.19 1.08133 0.0942548 1
3.66159 0.19 1.08133 0.0942548 1
3.71659 0.194681 1.10325 0.0964067 0
3.71231 0.19 1.08133 0.0942548 1
3.76303 0.19 1.08133 0.0942548 1
3.81374 0.19 1.08133 0.0942548 1
3.86446 0.19 1.08133 0.0942548 1
3.91518 0.19 1.08133 0.0942548 1
3.96589 0.19 1.08133 0.0942548 1
4.01661 0.19 1.08133 0.0942548 1
4.06733 0.19 1.08133 0.0942548 1
4.11804 0.19 1.08133 0.0942548 1
4.16876 0.19 1.08133 0.0942548 1
4.17376 0.145884 1.01268 0.0712867 0
4.21948 0.19 1.08133 0.0942548 1
4.27019 0.19 1.08133 0.0942548 1
4.32091 0.19 1.08133 0.0942548 1
4.37163 0.19 1.08133 0.0942548 1
4.42234 0.19 1.08133 0.0942548 1
4.47306 0.19 1.08133 0.0942548 1
4.52378 0.19 1.08133 0.0942548 1
4.5745 0.19 1.08133 0.0942548 1
4.62521 0.19 1.08133 0.0942548 1
4.63521 0.1508 0.956742 0.0737987 0
4.67593 0.19 1.08133 0.0942548 1
4.72665 0.19 1.08133 0.0942548 1
4.77736 0.19 1.08133 0.0942548 1
4.82808 0.19 1.08133 0.0942548 1
4.8788 0.19 1.08133 0.0942548 1
4.92951 0.19 1.08133 0.0942548 1
4.98023 0.19 1.08133 0.0942548 1
5.03095 0.19 1.08133 0.0942548 1
5.08166 0.19 1.08133 0.0942548 1
5.09666 0.155483 0.919832 0.0763107 0
5.13238 0.19 1.08133 0.0942548 1
5.1831 0.19 1.08133 0.0942548 1
5.23381 0.19 1.08133 0.0942548 1
5.28453 0.19 1.08133 0.0942548 1
5.33525 0.19 1.08133 0.0942548 1
5.38596 0.19 1.08133 0.0942548 1
5.43668 0.19 1.08133 0.0942548 1
5.4874 0.19 1.08133 0.0942548 1
5.53811 0.19 1.08133 0.0942548 1
5.55811 0.160035 0.904355 0.0788227 0
5.58883 0.19 1.08133 0.0942548 1
5.63955 0.19 1.08133 0.0942548 1
5.69026 0.19 1.08133 0.0942548 1
5.74098 0.19 1.08133 0.0942548 1
5.7917 0.19 1.08133 0.0942548 1
5.84241 0.19 1.08133 0.0942548 1
5.89313 0.19 1.08133 0.0942548 1
5.94385 0.19 1.08133 0.0942548 1
5.99456 0.19 1.08133 0.0942548 1
6.01956 0.164561 0.909296 0.0813347 0
6.04528 0.19 1.08133 0.0942548 1
6.096 0.19 1.08133 0.0942548 1
6.14671 0.19 1.08133 0.0942548 1
6.19743 0.19 1.08133 0.0942548 1
6.24815 0.19 1.08133 0.0942548 1
6.29886 0.19 1.08133 0.0942548 1
6.34958 0.19 1.08133 0.0942548 1
6.4003 0.19 1.08133 0.0942548 1
6.45102 0.19 1.08133 0.0942548 1
6.48102 0.169156 0.931041 0.0838467 0
6.50173 0.19 1.08133 0.0942548 1
6.55245 0.19 1.08133 0.0942548 1
6.60317 0.19 1.08133 0.0942548 1
6.65388 0.19 1.08133 0.0942548 1
6.7046 0.19 1.08133 0.0942548 1
6.75532 0.19 1.08133 0.0942548 1
6.80603 0.19 1.08133 0.0942548 1
6.85675 0.19 1.08133 0.0942548 1
6.90747 0.19 1.08133 0.0942548 1
6.94247 0.17389 0.96437 0.0863587 0
6.95818 0.19 1.08133 0.0942548 1
7.0089 0.19 1.08133 0.0942548 1
7.05962 0.19 1.08133 0.0942548 1
7.11033 0.19 1.08133 0.0942548 1
7.16105 0.19 1.08133 0.0942548 1
7.21177 0.19 1.08133 0.0942548 1
7.26248 0.19 1.08133 0.0942548 1
7.3132 0.19 1.08133 0.0942548 1
7.36392 0.19 1.08133 0.0942548 1
7.40392 0.178809 1.00342 0.0888707 0
7.41463 0.19 1.08133 0.0942548 1
7.46535 0.19 1.08133 0.0942548 1
7.51607 0.19 1.08133 0.0942548 1
7.56678 0.19 1.08133 0.0942548 1
7.6175 0.19 1.08133 0.0942548 1
7.66822 0.19 1.08133 0.0942548 1
7.71893 0.19 1.08133 0.0942548 1
7.76965 0.19 1.08133 0.0942548 1
7.82037 0.19 1.08133 0.0942548 1
7.86537 0.183925 1.04256 0.0913827 0
7.87108 0.19 1.08133 0.0942548 1
7.9218 0.19 1.08133 0.0942548 1
7.97252 0.19 1.08133 0.0942548 1
8.02323 0.19 1.08133 0.0942548 1
8.07395 0.19 1.08133 0.0942548 1
8.12467 0.19 1.08133 0.0942548 1
8.17538 0.19 1.08133 0.0942548 1
8.2261 0.19 1.08133 0.0942548 1
8.27682 0.19 1.08133 0.0942548 1
8.32682 0.189226 1.077 0.0938947 0
8.32754 0.19 1.08133 0.0942548 1
8.37825 0.19 1.08133 0.0942548 1
8.42897 0.19 1.08133 0.0942548 1
8.47969 0.19 1.08133 0.0942548 1
8.5304 0.19 1.08133 0.0942548 1
8.58112 0.19 1.08133 0.0942548 1
8.63184 0.19 1.08133 0.0942548 1
8.68255 0.19 1.08133 0.0942548 1
8.73327 0.19 1.08133 0.0942548 1
8.78827 0.194681 1.10325 0.0964067 0
8.78399 0.19 1.08133 0.0942548 1
8.8347 0.19 1.08133 0.0942548 1
8.88542 0.19 1.08133 0.0942548 1
8.93614 0.19 1.08133 0.0942548 1
8.98685 0.19 1.08133 0.0942548 1
9.03757 0.19 1.08133 0.0942548 1
9.08829 0.19 1.08133 0.0942548 1
9.139 0.19 1.08133 0.0942548 1
9.18972 0.19 1.08133 0.0942548 1
9.24044 0.19 1.08133 0.0942548 1
9.24544 0.145884 1.01268 0.0712867 0
