t x v M dripped?
0 0 0 0.01 0
0.165606 0.19 0.953289 0.0935317 1
0.212663 0.19 1.17769 0.0949767 1
0.266062 0.19 0.98512 0.0939475 1
0.313372 0.19 1.14427 0.0946736 1
0.365807 0.19 1.02525 0.0940389 1
0.414493 0.19 1.12472 0.0944926 1
0.466418 0.19 1.0484 0.094114 1
0.481418 0.156818 0.874858 0.0770126 0
0.515876 0.19 1.11053 0.0943936 1
0.567377 0.19 1.06259 0.094164 1
0.617314 0.19 1.10108 0.0943375 1
0.668519 0.19 1.0712 0.0941971 1
0.718744 0.19 1.09499 0.0943048 1
0.769754 0.19 1.07643 0.0942185 1
0.820155 0.19 1.09114 0.0942854 1
0.87104 0.19 1.07964 0.0942322 1
0.921546 0.19 1.08872 0.0942736 1
0.951546 0.169002 0.937918 0.0837462 0
0.972352 0.19 1.0816 0.0942408 1
1.02292 0.19 1.08722 0.0942665 1
1.07368 0.19 1.08281 0.0942462 1
1.12429 0.19 1.08628 0.0942621 1
1.17502 0.19 1.08355 0.0942496 1
1.22566 0.19 1.0857 0.0942594 1
1.27636 0.19 1.08401 0.0942516 1
1.32701 0.19 1.08534 0.0942577 1
1.37771 0.19 1.0843 0.0942529 1
1.41271 0.173876 0.9697 0.0863573 0
1.42837 0.19 1.08512 0.0942567 1
1.47906 0.19 1.08447 0.0942537 1
1.52972 0.19 1.08498 0.0942561 1
1.58041 0.19 1.08458 0.0942542 1
1.63108 0.19 1.0849 0.0942557 1
1.68176 0.19 1.08465 0.0942545 1
1.73243 0.19 1.08484 0.0942554 1
1.78311 0.19 1.08469 0.0942547 1
1.83378 0.19 1.08481 0.0942553 1
1.87378 0.178807 1.00815 0.088869 0
1.88446 0.19 1.08472 0.0942548 1
1.93514 0.19 1.08479 0.0942552 1
1.98581 0.19 1.08473 0.0942549 1
2.03649 0.19 1.08478 0.0942551 1
2.08717 0.19 1.08474 0.094255 1
2.13784 0.19 1.08477 0.0942551 1
2.18852 0.19 1.08475 0.094255 1
2.23919 0.19 1.08477 0.0942551 1
2.28987 0.19 1.08475 0.094255 1
2.33487 0.183947 1.04679 0.0913922 0
2.34055 0.19 1.08476 0.0942551 1
2.39122 0.19 1.08475 0.094255 1
2.4419 0.19 1.08476 0.0942551 1
2.49257 0.19 1.08476 0.094255 1
2.54325 0.19 1.08476 0.094255 1
2.59393 0.19 1.08476 0.094255 1
2.6446 0.19 1.08476 0.094255 1
2.69528 0.19 1.08476 0.094255 1
2.74595 0.19 1.08476 0.094255 1
2.79595 0.189268 1.08073 0.093914 0
2.79663 0.19 1.08476 0.094255 1
2.84731 0.19 1.08476 0.094255 1
2.89798 0.19 1.08476 0.094255 1
2.94866 0.19 1.08476 0.094255 1
2.99933 0.19 1.08476 0.094255 1
3.05001 0.19 1.08476 0.094255 1
3.10069 0.19 1.08476 0.094255 1
3.15136 0.19 1.08476 0.094255 1
3.20204 0.19 1.08476 0.094255 1
3.25704 0.19474 1.10658 0.0964361 0
3.25271 0.19 1.08476 0.094255 1
3.30339 0.19 1.08476 0.094255 1
3.35407 0.19 1.08476 0.094255 1
3.40474 0.19 1.08476 0.094255 1
3.45542 0.19 1.08476 0.094255 1
3.50609 0.19 1.08476 0.094255 1
3.55677 0.19 1.08476 0.094255 1
3.60745 0.19 1.08476 0.094255 1
3.65812 0.19 1.08476 0.094255 1
3.7088 0.19 1.08476 0.094255 1
3.7138 0.145694 1.01694 0.071216 0
3.75947 0.19 1.08476 0.094255 1
3.81015 0.19 1.08476 0.094255 1
3.86083 0.19 1.08476 0.094255 1
3.9115 0.19 1.08476 0.094255 1
3.96218 0.19 1.08476 0.094255 1
4.01285 0.19 1.08476 0.094255 1
4.06353 0.19 1.08476 0.094255 1
4.11421 0.19 1.08476 0.094255 1
4.16488 0.19 1.08476 0.094255 1
4.17488 0.150634 0.961744 0.073738 0
4.21556 0.19 1.08476 0.094255 1
4.26623 0.19 1.08476 0.094255 1
4.31691 0.19 1.08476 0.094255 1
4.36759 0.19 1.08476 0.094255 1
4.41826 0.19 1.08476 0.094255 1
4.46894 0.19 1.08476 0.094255 1
4.51961 0.19 1.08476 0.094255 1
4.57029 0.19 1.08476 0.094255 1
4.62097 0.19 1.08476 0.094255 1
4.63597 0.155343 0.925372 0.07626 0
4.67164 0.19 1.08476 0.094255 1
4.72232 0.19 1.08476 0.094255 1
4.77299 0.19 1.08476 0.094255 1
4.82367 0.19 1.08476 0.094255 1
4.87435 0.19 1.08476 0.094255 1
4.92502 0.19 1.08476 0.094255 1
4.9757 0.19 1.08476 0.094255 1
5.02637 0.19 1.08476 0.094255 1
5.07705 0.19 1.08476 0.094255 1
5.09705 0.159923 0.910183 0.078782 0
5.12773 0.19 1.08476 0.094255 1
5.1784 0.19 1.08476 0.094255 1
5.22908 0.19 1.08476 0.094255 1
5.27975 0.19 1.08476 0.094255 1
5.33043 0.19 1.08476 0.094255 1
5.38111 0.19 1.08476 0.094255 1
5.43178 0.19 1.08476 0.094255 1
5.48246 0.19 1.08476 0.094255 1
5.53314 0.19 1.08476 0.094255 1
5.55814 0.164479 0.91515 0.081304 0
5.58381 0.19 1.08476 0.094255 1
5.63449 0.19 1.08476 0.094255 1
5.68516 0.19 1.08476 0.094255 1
5.73584 0.19 1.08476 0.094255 1
5.78652 0.19 1.08476 0.094255 1
5.83719 0.19 1.08476 0.094255 1
5.88787 0.19 1.08476 0.094255 1
5.93854 0.19 1.08476 0.094255 1
5.98922 0.19 1.08476 0.094255 1
6.01922 0.169102 0.936689 0.083826 0
6.0399 0.19 1.08476 0.094255 1
6.09057 0.19 1.08476 0.094255 1
6.14125 0.19 1.08476 0.094255 1
6.19192 0.19 1.08476 0.094255 1
6.2426 0.19 1.08476 0.094255 1
6.29328 0.19 1.08476 0.094255 1
6.34395 0.19 1.08476 0.094255 1
6.39463 0.19 1.08476 0.094255 1
6.4453 0.19 1.08476 0.094255 1
6.4803 0.173865 0.969628 0.086348 0
6.49598 0.19 1.08476 0.094255 1
6.54666 0.19 1.08476 0.094255 1
6.59733 0.19 1.08476 0.094255 1
6.64801 0.19 1.08476 0.094255 1
6.69868 0.19 1.08476 0.094255 1
6.74936 0.19 1.08476 0.094255 1
6.80004 0.19 1.08476 0.094255 1
6.85071 0.19 1.08476 0.094255 1
6.90139 0.19 1.08476 0.094255 1
6.94139 0.178808 1.00818 0.08887 0
6.95206 0.19 1.08476 0.094255 1
7.00274 0.19 1.08476 0.094255 1
7.05342 0.19 1.08476 0.094255 1
7.10409 0.19 1.08476 0.094255 1
7.15477 0.19 1.08476 0.094255 1
7.20544 0.19 1.08476 0.094255 1
7.25612 0.19 1.08476 0.094255 1
7.3068 0.19 1.08476 0.094255 1
7.35747 0.19 1.08476 0.094255 1
7.40247 0.183946 1.04679 0.091392 0
7.40815 0.19 1.08476 0.094255 1
7.45882 0.19 1.08476 0.094255 1
7.5095 0.19 1.08476 0.094255 1
7.56018 0.19 1.08476 0.094255 1
7.61085 0.19 1.08476 0.094255 1
7.66153 0.19 1.08476 0.094255 1
7.7122 0.19 1.08476 0.094255 1
7.76288 0.19 1.08476 0.094255 1
7.81356 0.19 1.08476 0.094255 1
7.86356 0.189268 1.08073 0.093914 0
7.86423 0.19 1.08476 0.094255 1
7.91491 0.19 1.08476 0.094255 1
7.96558 0.19 1.08476 0.094255 1
8.01626 0.19 1.08476 0.094255 1
8.06694 0.19 1.08476 0.094255 1
8.11761 0.19 1.08476 0.094255 1
8.16829 0.19 1.08476 0.094255 1
8.21896 0.19 1.08476 0.094255 1
8.26964 0.19 1.08476 0.094255 1
8.32464 0.19474 1.10658 0.096436 0
8.32032 0.19 1.08476 0.094255 1
8.37099 0.19 1.08476 0.094255 1
8.42167 0.19 1.08476 0.094255 1
8.47234 0.19 1.08476 0.094255 1
8.52302 0.19 1.08476 0.094255 1
8.5737 0.19 1.08476 0.094255 1
8.62437 0.19 1.08476 0.094255 1
8.67505 0.19 1.08476 0.094255 1
8.72572 0.19 1.08476 0.094255 1
8.7764 0.19 1.08476 0.094255 1
8.7814 0.145694 1.01694 0.071216 0
8.82708 0.19 1.08476 0.094255 1
8.87775 0.19 1.08476 0.094255 1
8.92843 0.19 1.08476 0.094255 1
8.97911 0.19 1.08476 0.094255 1
9.02978 0.19 1.08476 0.094255 1
9.08046 0.19 1.08476 0.094255 1
9.13113 0.19 1.08476 0.094255 1
9.18181 0.19 1.08476 0.094255 1
9.23249 0.19 1.08476 0.094255 1
9.24249 0.150634 0.961744 0.073738 0
9.28316 0.19 1.08476 0.094255 1
9.33384 0.19 1.08476 0.094255 1
9.38451 0.19 1.08476 0.094255 1
9.43519 0.19 1.08476 0.094255 1
9.48587 0.19 1.08476 0.094255 1
9.53654 0.19 1.08476 0.094255 1
9.58722 0.19 1.08476 0.094255 1
9.63789 0.19 1.08476 0.094255 1
9.68857 0.19 1.08476 0.094255 1
9.70357 0.155343 0.925372 0.07626 0
9.73925 0.19 1.08476 0.094255 1
9.78992 0.19 1.08476 0.094255 1
9.8406 0.19 1.08476 0.094255 1
9.89127 0.19 1.08476 0.094255 1
9.94195 0.19 1.08476 0.094255 1
9.99263 0.19 1.08476 0.094255 1
10.0433 0.19 1.08476 0.094255 1
10.094 0.19 1.08476 0.094255 1
10.1447 0.19 1.08476 0.094255 1
10.1647 0.159923 0.910183 0.078782 0
10.1953 0.19 1.08476 0.094255 1
10.246 0.19 1.08476 0.094255 1
10.2967 0.19 1.08476 0.094255 1
10.3474 0.19 1.08476 0.094255 1
10.398 0.19 1.08476 0.094255 1
10.4487 0.19 1.08476 0.094255 1
10.4994 0.19 1.08476 0.094255 1
10.5501 0.19 1.08476 0.094255 1
10.6007 0.19 1.08476 0.094255 1
10.6257 0.164479 0.91515 0.081304 0
