t x v M dripped?
0 0 0 0.01 0
0.165972 0.19 0.951474 0.0935505 1
0.212994 0.19 1.17455 0.0949686 1
0.266365 0.19 0.984954 0.0939491 1
0.313744 0.19 1.14173 0.094666 1
0.366182 0.19 1.02463 0.0940421 1
0.414919 0.19 1.12223 0.0944872 1
0.466844 0.19 1.04754 0.0941166 1
0.481844 0.156853 0.873275 0.0770198 0
0.516349 0.19 1.10819 0.0943898 1
0.567852 0.19 1.06151 0.0941661 1
0.617829 0.19 1.09888 0.0943348 1
0.66904 0.19 1.06993 0.0941987 1
0.719299 0.19 1.09292 0.0943029 1
0.770319 0.19 1.07504 0.0942197 1
0.820749 0.19 1.08917 0.094284 1
0.871647 0.19 1.07814 0.094233 1
0.922181 0.19 1.08683 0.0942727 1
0.952181 0.169033 0.935036 0.0837601 0
0.973002 0.19 1.08004 0.0942413 1
1.0236 0.19 1.08538 0.0942658 1
1.07437 0.19 1.0812 0.0942465 1
1.12501 0.19 1.08448 0.0942616 1
1.17575 0.19 1.08191 0.0942497 1
1.22641 0.19 1.08393 0.094259 1
1.27714 0.19 1.08235 0.0942517 1
1.32781 0.19 1.08359 0.0942574 1
1.37852 0.19 1.08261 0.0942529 1
1.41352 0.173888 0.967066 0.086362 0
1.42921 0.19 1.08338 0.0942565 1
1.47991 0.19 1.08278 0.0942537 1
1.5306 0.19 1.08325 0.0942559 1
1.5813 0.19 1.08288 0.0942542 1
1.63199 0.19 1.08317 0.0942555 1
1.6827 0.19 1.08294 0.0942544 1
1.73339 0.19 1.08312 0.0942553 1
1.78409 0.19 1.08298 0.0942546 1
1.83478 0.19 1.08309 0.0942551 1
1.87478 0.178807 1.00578 0.0888694 0
1.88548 0.19 1.08301 0.0942547 1
1.93617 0.19 1.08307 0.094255 1
1.98687 0.19 1.08302 0.0942548 1
2.03757 0.19 1.08306 0.094255 1
2.08826 0.19 1.08303 0.0942548 1
2.13896 0.19 1.08305 0.094255 1
2.18966 0.19 1.08303 0.0942549 1
2.24035 0.19 1.08305 0.0942549 1
2.29105 0.19 1.08304 0.0942549 1
2.33605 0.183936 1.04468 0.0913875 0
2.34175 0.19 1.08305 0.0942549 1
2.39244 0.19 1.08304 0.0942549 1
2.44314 0.19 1.08305 0.0942549 1
2.49383 0.19 1.08304 0.0942549 1
2.54453 0.19 1.08305 0.0942549 1
2.59523 0.19 1.08304 0.0942549 1
2.64592 0.19 1.08304 0.0942549 1
2.69662 0.19 1.08304 0.0942549 1
2.74732 0.19 1.08304 0.0942549 1
2.79732 0.189247 1.07887 0.0939044 0
2.79801 0.19 1.08304 0.0942549 1
2.84871 0.19 1.08304 0.0942549 1
2.89941 0.19 1.08304 0.0942549 1
2.9501 0.19 1.08304 0.0942549 1
3.0008 0.19 1.08304 0.0942549 1
3.05149 0.19 1.08304 0.0942549 1
3.10219 0.19 1.08304 0.0942549 1
3.15289 0.19 1.08304 0.0942549 1
3.20358 0.19 1.08304 0.0942549 1
3.25858 0.194711 1.10491 0.0964214 0
3.25428 0.19 1.08304 0.0942549 1
3.30498 0.19 1.08304 0.0942549 1
3.35567 0.19 1.08304 0.0942549 1
3.40637 0.19 1.08304 0.0942549 1
3.45707 0.19 1.08304 0.0942549 1
3.50776 0.19 1.08304 0.0942549 1
3.55846 0.19 1.08304 0.0942549 1
3.60915 0.19 1.08304 0.0942549 1
3.65985 0.19 1.08304 0.0942549 1
3.71055 0.19 1.08304 0.0942549 1
3.71555 0.145789 1.01481 0.0712514 0
3.76124 0.19 1.08304 0.0942549 1
3.81194 0.19 1.08304 0.0942549 1
3.86264 0.19 1.08304 0.0942549 1
3.91333 0.19 1.08304 0.0942549 1
3.96403 0.19 1.08304 0.0942549 1
4.01472 0.19 1.08304 0.0942549 1
4.06542 0.19 1.08304 0.0942549 1
4.11612 0.19 1.08304 0.0942549 1
4.16681 0.19 1.08304 0.0942549 1
4.17681 0.150717 0.959241 0.0737684 0
4.21751 0.19 1.08304 0.0942549 1
4.26821 0.19 1.08304 0.0942549 1
4.3189 0.19 1.08304 0.0942549 1
4.3696 0.19 1.08304 0.0942549 1
4.4203 0.19 1.08304 0.0942549 1
4.47099 0.19 1.08304 0.0942549 1
4.52169 0.19 1.08304 0.0942549 1
4.57238 0.19 1.08304 0.0942549 1
4.62308 0.19 1.08304 0.0942549 1
4.63808 0.155413 0.9226 0.0762854 0
4.67378 0.19 1.08304 0.0942549 1
4.72447 0.19 1.08304 0.0942549 1
4.77517 0.19 1.08304 0.0942549 1
4.82587 0.19 1.08304 0.0942549 1
4.87656 0.19 1.08304 0.0942549 1
4.92726 0.19 1.08304 0.0942549 1
4.97796 0.19 1.08304 0.0942549 1
5.02865 0.19 1.08304 0.0942549 1
5.07935 0.19 1.08304 0.0942549 1
5.09935 0.159979 0.907268 0.0788024 0
5.13004 0.19 1.08304 0.0942549 1
5.18074 0.19 1.08304 0.0942549 1
5.23144 0.19 1.08304 0.0942549 1
5.28213 0.19 1.08304 0.0942549 1
5.33283 0.19 1.08304 0.0942549 1
5.38353 0.19 1.08304 0.0942549 1
5.43422 0.19 1.08304 0.0942549 1
5.48492 0.19 1.08304 0.0942549 1
5.53562 0.19 1.08304 0.0942549 1
5.56062 0.16452 0.912222 0.0813194 0
5.58631 0.19 1.08304 0.0942549 1
5.63701 0.19 1.08304 0.0942549 1
5.6877 0.19 1.08304 0.0942549 1
5.7384 0.19 1.08304 0.0942549 1
5.7891 0.19 1.08304 0.0942549 1
5.83979 0.19 1.08304 0.0942549 1
5.89049 0.19 1.08304 0.0942549 1
5.94119 0.19 1.08304 0.0942549 1
5.99188 0.19 1.08304 0.0942549 1
6.02188 0.169129 0.933865 0.0838364 0
6.04258 0.19 1.08304 0.0942549 1
6.09327 0.19 1.08304 0.0942549 1
6.14397 0.19 1.08304 0.0942549 1
6.19467 0.19 1.08304 0.0942549 1
6.24536 0.19 1.08304 0.0942549 1
6.29606 0.19 1.08304 0.0942549 1
6.34676 0.19 1.08304 0.0942549 1
6.39745 0.19 1.08304 0.0942549 1
6.44815 0.19 1.08304 0.0942549 1
6.48315 0.173878 0.966999 0.0863534 0
6.49885 0.19 1.08304 0.0942549 1
6.54954 0.19 1.08304 0.0942549 1
6.60024 0.19 1.08304 0.0942549 1
6.65093 0.19 1.08304 0.0942549 1
6.70163 0.19 1.08304 0.0942549 1
6.75233 0.19 1.08304 0.0942549 1
6.80302 0.19 1.08304 0.0942549 1
6.85372 0.19 1.08304 0.0942549 1
6.90442 0.19 1.08304 0.0942549 1
6.94442 0.178808 1.0058 0.0888704 0
6.95511 0.19 1.08304 0.0942549 1
7.00581 0.19 1.08304 0.0942549 1
7.05651 0.19 1.08304 0.0942549 1
7.1072 0.19 1.08304 0.0942549 1
7.1579 0.19 1.08304 0.0942549 1
7.20859 0.19 1.08304 0.0942549 1
7.25929 0.19 1.08304 0.0942549 1
7.30999 0.19 1.08304 0.0942549 1
7.36068 0.19 1.08304 0.0942549 1
7.40568 0.183936 1.04467 0.0913874 0
7.41138 0.19 1.08304 0.0942549 1
7.46208 0.19 1.08304 0.0942549 1
7.51277 0.19 1.08304 0.0942549 1
7.56347 0.19 1.08304 0.0942549 1
7.61417 0.19 1.08304 0.0942549 1
7.66486 0.19 1.08304 0.0942549 1
7.71556 0.19 1.08304 0.0942549 1
7.76625 0.19 1.08304 0.0942549 1
7.81695 0.19 1.08304 0.0942549 1
7.86695 0.189247 1.07887 0.0939044 0
7.86765 0.19 1.08304 0.0942549 1
7.91834 0.19 1.08304 0.0942549 1
7.96904 0.19 1.08304 0.0942549 1
8.01974 0.19 1.08304 0.0942549 1
8.07043 0.19 1.08304 0.0942549 1
8.12113 0.19 1.08304 0.0942549 1
8.17182 0.19 1.08304 0.0942549 1
8.22252 0.19 1.08304 0.0942549 1
8.27322 0.19 1.08304 0.0942549 1
8.32822 0.194711 1.10491 0.0964214 0
8.32391 0.19 1.08304 0.0942549 1
8.37461 0.19 1.08304 0.0942549 1
8.42531 0.19 1.08304 0.0942549 1
8.476 0.19 1.08304 0.0942549 1
8.5267 0.19 1.08304 0.0942549 1
8.5774 0.19 1.08304 0.0942549 1
