t x v M dripped?
0 0 0 0.01 0
0.166709 0.19 0.94823 0.093588 1
0.213674 0.19 1.1682 0.0949506 1
0.266991 0.19 0.984775 0.0939533 1
0.314513 0.19 1.13657 0.09465 1
0.366952 0.19 1.02348 0.0940488 1
0.415798 0.19 1.11721 0.0944761 1
0.467719 0.19 1.04586 0.0941221 1
0.482719 0.15692 0.870158 0.0770335 0
0.51732 0.19 1.10348 0.0943821 1
0.568827 0.19 1.05934 0.0941704 1
0.618884 0.19 1.09449 0.0943295 1
0.670107 0.19 1.0674 0.0942019 1
0.720436 0.19 1.08879 0.0942992 1
0.771474 0.19 1.07223 0.094222 1
0.821965 0.19 1.08525 0.0942814 1
0.872888 0.19 1.07514 0.0942345 1
0.923477 0.19 1.08306 0.0942708 1
0.948477 0.164505 0.909068 0.0812805 0
0.974328 0.19 1.0769 0.0942423 1
1.02497 0.19 1.08172 0.0942644 1
1.07578 0.19 1.07796 0.0942471 1
1.12646 0.19 1.0809 0.0942606 1
1.17724 0.19 1.07861 0.09425 1
1.22795 0.19 1.0804 0.0942582 1
1.27871 0.19 1.079 0.0942518 1
1.32943 0.19 1.08009 0.0942568 1
1.38018 0.19 1.07924 0.0942529 1
1.41018 0.169192 0.928107 0.0838645 0
1.43091 0.19 1.07991 0.0942559 1
1.48165 0.19 1.07939 0.0942536 1
1.53238 0.19 1.07979 0.0942554 1
1.58313 0.19 1.07948 0.094254 1
1.63386 0.19 1.07972 0.0942551 1
1.6846 0.19 1.07953 0.0942542 1
1.73533 0.19 1.07968 0.0942549 1
1.78607 0.19 1.07956 0.0942544 1
1.83681 0.19 1.07965 0.0942548 1
1.87181 0.173902 0.961734 0.0863631 0
1.88755 0.19 1.07958 0.0942545 1
1.93828 0.19 1.07964 0.0942547 1
1.98902 0.19 1.0796 0.0942545 1
2.03976 0.19 1.07963 0.0942547 1
2.0905 0.19 1.0796 0.0942546 1
2.14123 0.19 1.07962 0.0942546 1
2.19197 0.19 1.07961 0.0942546 1
2.24271 0.19 1.07962 0.0942546 1
2.29344 0.19 1.07961 0.0942546 1
2.33344 0.178809 1.00104 0.088871 0
2.34418 0.19 1.07962 0.0942546 1
2.39492 0.19 1.07961 0.0942546 1
2.44566 0.19 1.07962 0.0942546 1
2.49639 0.19 1.07961 0.0942546 1
2.54713 0.19 1.07962 0.0942546 1
2.59787 0.19 1.07961 0.0942546 1
2.64861 0.19 1.07962 0.0942546 1
2.69934 0.19 1.07961 0.0942546 1
2.75008 0.19 1.07962 0.0942546 1
2.79508 0.183914 1.04044 0.0913779 0
2.80082 0.19 1.07961 0.0942546 1
2.85155 0.19 1.07962 0.0942546 1
2.90229 0.19 1.07961 0.0942546 1
2.95303 0.19 1.07961 0.0942546 1
3.00377 0.19 1.07961 0.0942546 1
3.0545 0.19 1.07961 0.0942546 1
3.10524 0.19 1.07961 0.0942546 1
3.15598 0.19 1.07961 0.0942546 1
3.20672 0.19 1.07961 0.0942546 1
3.25672 0.189206 1.07513 0.0938849 0
3.25745 0.19 1.07961 0.0942546 1
3.30819 0.19 1.07961 0.0942546 1
3.35893 0.19 1.07961 0.0942546 1
3.40966 0.19 1.07961 0.0942546 1
3.4604 0.19 1.07961 0.0942546 1
3.51114 0.19 1.07961 0.0942546 1
3.56188 0.19 1.07961 0.0942546 1
3.61261 0.19 1.07961 0.0942546 1
3.66335 0.19 1.07961 0.0942546 1
3.71835 0.194651 1.10158 0.0963919 0
3.71409 0.19 1.07961 0.0942546 1
3.76483 0.19 1.07961 0.0942546 1
3.81556 0.19 1.07961 0.0942546 1
3.8663 0.19 1.07961 0.0942546 1
3.91704 0.19 1.07961 0.0942546 1
3.96777 0.19 1.07961 0.0942546 1
4.01851 0.19 1.07961 0.0942546 1
4.06925 0.19 1.07961 0.0942546 1
4.11999 0.19 1.07961 0.0942546 1
4.17072 0.19 1.07961 0.0942546 1
4.17572 0.145978 1.01055 0.0713219 0
4.22146 0.19 1.07961 0.0942546 1
4.2722 0.19 1.07961 0.0942546 1
4.32294 0.19 1.07961 0.0942546 1
4.37367 0.19 1.07961 0.0942546 1
4.42441 0.19 1.07961 0.0942546 1
4.47515 0.19 1.07961 0.0942546 1
4.52588 0.19 1.07961 0.0942546 1
4.57662 0.19 1.07961 0.0942546 1
4.62736 0.19 1.07961 0.0942546 1
4.63736 0.150883 0.954245 0.0738289 0
4.6781 0.19 1.07961 0.0942546 1
4.72883 0.19 1.07961 0.0942546 1
4.77957 0.19 1.07961 0.0942546 1
4.83031 0.19 1.07961 0.0942546 1
4.88105 0.19 1.07961 0.0942546 1
4.93178 0.19 1.07961 0.0942546 1
4.98252 0.19 1.07961 0.0942546 1
5.03326 0.19 1.07961 0.0942546 1
5.08399 0.19 1.07961 0.0942546 1
5.09899 0.155553 0.917067 0.0763359 0
5.13473 0.19 1.07961 0.0942546 1
5.18547 0.19 1.07961 0.0942546 1
5.23621 0.19 1.07961 0.0942546 1
5.28694 0.19 1.07961 0.0942546 1
5.33768 0.19 1.07961 0.0942546 1
5.38842 0.19 1.07961 0.0942546 1
5.43916 0.19 1.07961 0.0942546 1
5.48989 0.19 1.07961 0.0942546 1
5.54063 0.19 1.07961 0.0942546 1
5.56063 0.16009 0.901445 0.0788429 0
5.59137 0.19 1.07961 0.0942546 1
5.6421 0.19 1.07961 0.0942546 1
5.69284 0.19 1.07961 0.0942546 1
5.74358 0.19 1.07961 0.0942546 1
5.79432 0.19 1.07961 0.0942546 1
5.84505 0.19 1.07961 0.0942546 1
5.89579 0.19 1.07961 0.0942546 1
5.94653 0.19 1.07961 0.0942546 1
5.99727 0.19 1.07961 0.0942546 1
6.02227 0.164602 0.906371 0.0813499 0
6.048 0.19 1.07961 0.0942546 1
6.09874 0.19 1.07961 0.0942546 1
6.14948 0.19 1.07961 0.0942546 1
6.20021 0.19 1.07961 0.0942546 1
6.25095 0.19 1.07961 0.0942546 1
6.30169 0.19 1.07961 0.0942546 1
6.35243 0.19 1.07961 0.0942546 1
6.40316 0.19 1.07961 0.0942546 1
6.4539 0.19 1.07961 0.0942546 1
6.4839 0.169182 0.928219 0.0838569 0
6.50464 0.19 1.07961 0.0942546 1
