t x v M dripped?
0 0 0 0.01 0
0.167005 0.19 0.947076 0.0936029 1
0.213953 0.19 1.16564 0.0949427 1
0.267249 0.19 0.984757 0.0939553 1
0.314829 0.19 1.13447 0.0946433 1
0.367268 0.19 1.02305 0.0940516 1
0.416159 0.19 1.11519 0.0944715 1
0.468079 0.19 1.0452 0.0941244 1
0.483079 0.156947 0.868926 0.0770387 0
0.517718 0.19 1.10159 0.094379 1
0.569226 0.19 1.05848 0.0941722 1
0.619316 0.19 1.09273 0.0943273 1
0.670543 0.19 1.06638 0.0942032 1
0.7209 0.19 1.08715 0.0942977 1
0.771946 0.19 1.0711 0.0942228 1
0.822462 0.19 1.08368 0.0942803 1
0.873395 0.19 1.07393 0.0942351 1
0.924005 0.19 1.08156 0.09427 1
0.949005 0.164541 0.906624 0.0812954 0
0.974869 0.19 1.07563 0.0942426 1
1.02554 0.19 1.08026 0.0942639 1
1.07636 0.19 1.07666 0.0942473 1
1.12706 0.19 1.07947 0.0942602 1
1.17785 0.19 1.07729 0.0942501 1
1.22857 0.19 1.07899 0.0942579 1
1.27935 0.19 1.07766 0.0942518 1
1.33009 0.19 1.0787 0.0942566 1
1.38086 0.19 1.07789 0.0942529 1
1.41086 0.169212 0.925856 0.0838723 0
1.4316 0.19 1.07852 0.0942557 1
1.48236 0.19 1.07803 0.0942535 1
1.53311 0.19 1.07841 0.0942552 1
1.58387 0.19 1.07811 0.0942539 1
1.63462 0.19 1.07834 0.0942549 1
1.68537 0.19 1.07817 0.0942541 1
1.73612 0.19 1.07831 0.0942548 1
1.78688 0.19 1.0782 0.0942543 1
1.83763 0.19 1.07828 0.0942546 1
1.87263 0.173913 0.95963 0.0863674 0
1.88839 0.19 1.07822 0.0942543 1
1.93914 0.19 1.07827 0.0942546 1
1.98989 0.19 1.07823 0.0942544 1
2.04065 0.19 1.07826 0.0942545 1
2.0914 0.19 1.07823 0.0942544 1
2.14215 0.19 1.07825 0.0942545 1
2.19291 0.19 1.07824 0.0942544 1
2.24366 0.19 1.07825 0.0942545 1
2.29442 0.19 1.07824 0.0942545 1
2.33442 0.17881 0.999137 0.0888712 0
2.34517 0.19 1.07825 0.0942545 1
2.39592 0.19 1.07824 0.0942545 1
2.44668 0.19 1.07825 0.0942545 1
2.49743 0.19 1.07824 0.0942545 1
2.54819 0.19 1.07825 0.0942545 1
2.59894 0.19 1.07824 0.0942545 1
2.64969 0.19 1.07824 0.0942545 1
2.70045 0.19 1.07824 0.0942545 1
2.7512 0.19 1.07824 0.0942545 1
2.7962 0.183905 1.03875 0.0913741 0
2.80195 0.19 1.07824 0.0942545 1
2.85271 0.19 1.07824 0.0942545 1
2.90346 0.19 1.07824 0.0942545 1
2.95422 0.19 1.07824 0.0942545 1
3.00497 0.19 1.07824 0.0942545 1
3.05572 0.19 1.07824 0.0942545 1
3.10648 0.19 1.07824 0.0942545 1
3.15723 0.19 1.07824 0.0942545 1
3.20798 0.19 1.07824 0.0942545 1
3.25798 0.189189 1.07363 0.0938771 0
3.25874 0.19 1.07824 0.0942545 1
3.30949 0.19 1.07824 0.0942545 1
3.36025 0.19 1.07824 0.0942545 1
3.411 0.19 1.07824 0.0942545 1
3.46175 0.19 1.07824 0.0942545 1
3.51251 0.19 1.07824 0.0942545 1
3.56326 0.19 1.07824 0.0942545 1
3.61401 0.19 1.07824 0.0942545 1
3.66477 0.19 1.07824 0.0942545 1
3.71977 0.194628 1.10025 0.0963801 0
3.71552 0.19 1.07824 0.0942545 1
3.76628 0.19 1.07824 0.0942545 1
3.81703 0.19 1.07824 0.0942545 1
3.86778 0.19 1.07824 0.0942545 1
3.91854 0.19 1.07824 0.0942545 1
3.96929 0.19 1.07824 0.0942545 1
4.02004 0.19 1.07824 0.0942545 1
4.0708 0.19 1.07824 0.0942545 1
4.12155 0.19 1.07824 0.0942545 1
4.17231 0.19 1.07824 0.0942545 1
4.17731 0.146054 1.00884 0.0713501 0
4.22306 0.19 1.07824 0.0942545 1
4.27381 0.19 1.07824 0.0942545 1
4.32457 0.19 1.07824 0.0942545 1
4.37532 0.19 1.07824 0.0942545 1
4.42607 0.19 1.07824 0.0942545 1
4.47683 0.19 1.07824 0.0942545 1
4.52758 0.19 1.07824 0.0942545 1
4.57834 0.19 1.07824 0.0942545 1
4.62909 0.19 1.07824 0.0942545 1
4.63909 0.15095 0.95225 0.0738531 0
4.67984 0.19 1.07824 0.0942545 1
4.7306 0.19 1.07824 0.0942545 1
4.78135 0.19 1.07824 0.0942545 1
4.8321 0.19 1.07824 0.0942545 1
4.88286 0.19 1.07824 0.0942545 1
4.93361 0.19 1.07824 0.0942545 1
4.98437 0.19 1.07824 0.0942545 1
5.03512 0.19 1.07824 0.0942545 1
5.08587 0.19 1.07824 0.0942545 1
5.10087 0.155609 0.914857 0.0763561 0
5.13663 0.19 1.07824 0.0942545 1
5.18738 0.19 1.07824 0.0942545 1
5.23813 0.19 1.07824 0.0942545 1
5.28889 0.19 1.07824 0.0942545 1
5.33964 0.19 1.07824 0.0942545 1
5.3904 0.19 1.07824 0.0942545 1
5.44115 0.19 1.07824 0.0942545 1
5.4919 0.19 1.07824 0.0942545 1
5.54266 0.19 1.07824 0.0942545 1
5.56266 0.160135 0.899119 0.0788591 0
5.59341 0.19 1.07824 0.0942545 1
5.64416 0.19 1.07824 0.0942545 1
5.69492 0.19 1.07824 0.0942545 1
5.74567 0.19 1.07824 0.0942545 1
5.79643 0.19 1.07824 0.0942545 1
5.84718 0.19 1.07824 0.0942545 1
5.89793 0.19 1.07824 0.0942545 1
5.94869 0.19 1.07824 0.0942545 1
5.99944 0.19 1.07824 0.0942545 1
6.02444 0.164635 0.904032 0.0813621 0
6.05019 0.19 1.07824 0.0942545 1
6.10095 0.19 1.07824 0.0942545 1
6.1517 0.19 1.07824 0.0942545 1
6.20246 0.19 1.07824 0.0942545 1
6.25321 0.19 1.07824 0.0942545 1
6.30396 0.19 1.07824 0.0942545 1
6.35472 0.19 1.07824 0.0942545 1
6.40547 0.19 1.07824 0.0942545 1
6.45622 0.19 1.07824 0.0942545 1
6.48622 0.169203 0.925962 0.0838651 0
6.50698 0.19 1.07824 0.0942545 1
6.55773 0.19 1.07824 0.0942545 1
6.60849 0.19 1.07824 0.0942545 1
6.65924 0.19 1.07824 0.0942545 1
6.70999 0.19 1.07824 0.0942545 1
6.76075 0.19 1.07824 0.0942545 1
6.8115 0.19 1.07824 0.0942545 1
6.86225 0.19 1.07824 0.0942545 1
6.91301 0.19 1.07824 0.0942545 1
6.94801 0.173914 0.959636 0.0863681 0
6.96376 0.19 1.07824 0.0942545 1
7.01452 0.19 1.07824 0.0942545 1
7.06527 0.19 1.07824 0.0942545 1
7.11602 0.19 1.07824 0.0942545 1
7.16678 0.19 1.07824 0.0942545 1
7.21753 0.19 1.07824 0.0942545 1
7.26828 0.19 1.07824 0.0942545 1
7.31904 0.19 1.07824 0.0942545 1
7.36979 0.19 1.07824 0.0942545 1
7.40979 0.178809 0.999135 0.0888711 0
7.42055 0.19 1.07824 0.0942545 1
7.4713 0.19 1.07824 0.0942545 1
7.52205 0.19 1.07824 0.0942545 1
7.57281 0.19 1.07824 0.0942545 1
7.62356 0.19 1.07824 0.0942545 1
7.67431 0.19 1.07824 0.0942545 1
7.72507 0.19 1.07824 0.0942545 1
7.77582 0.19 1.07824 0.0942545 1
7.82658 0.19 1.07824 0.0942545 1
7.87158 0.183905 1.03875 0.0913741 0
7.87733 0.19 1.07824 0.0942545 1
7.92808 0.19 1.07824 0.0942545 1
7.97884 0.19 1.07824 0.0942545 1
8.02959 0.19 1.07824 0.0942545 1
8.08034 0.19 1.07824 0.0942545 1
8.1311 0.19 1.07824 0.0942545 1
8.18185 0.19 1.07824 0.0942545 1
8.23261 0.19 1.07824 0.0942545 1
8.28336 0.19 1.07824 0.0942545 1
8.33336 0.189189 1.07363 0.0938771 0
8.33411 0.19 1.07824 0.0942545 1
8.38487 0.19 1.07824 0.0942545 1
8.43562 0.19 1.07824 0.0942545 1
8.48637 0.19 1.07824 0.0942545 1
8.53713 0.19 1.07824 0.0942545 1
8.58788 0.19 1.07824 0.0942545 1
8.63864 0.19 1.07824 0.0942545 1
8.68939 0.19 1.07824 0.0942545 1
8.74014 0.19 1.07824 0.0942545 1
8.79514 0.194628 1.10025 0.0963801 0
8.7909 0.19 1.07824 0.0942545 1
8.84165 0.19 1.07824 0.0942545 1
8.8924 0.19 1.07824 0.0942545 1
8.94316 0.19 1.07824 0.0942545 1
8.99391 0.19 1.07824 0.0942545 1
9.04467 0.19 1.07824 0.0942545 1
9.09542 0.19 1.07824 0.0942545 1
9.14617 0.19 1.07824 0.0942545 1
9.19693 0.19 1.07824 0.0942545 1
9.24768 0.19 1.07824 0.0942545 1
9.25268 0.146054 1.00884 0.0713501 0
9.29843 0.19 1.07824 0.0942545 1
9.34919 0.19 1.07824 0.0942545 1
9.39994 0.19 1.07824 0.0942545 1
9.4507 0.19 1.07824 0.0942545 1
9.50145 0.19 1.07824 0.0942545 1
9.5522 0.19 1.07824 0.0942545 1
9.60296 0.19 1.07824 0.0942545 1
9.65371 0.19 1.07824 0.0942545 1
9.70446 0.19 1.07824 0.0942545 1
9.71446 0.15095 0.95225 0.0738531 0
9.75522 0.19 1.07824 0.0942545 1
9.80597 0.19 1.07824 0.0942545 1
