t x v M dripped?
0 0 0 0.01 0
0.165826 0.19 0.952184 0.093543 1
0.212861 0.19 1.17581 0.0949719 1
0.266243 0.19 0.985014 0.0939484 1
0.313595 0.19 1.14275 0.094669 1
0.366031 0.19 1.02487 0.0940408 1
0.414748 0.19 1.12323 0.0944893 1
0.466672 0.19 1.04789 0.0941156 1
0.481672 0.156839 0.873906 0.0770169 0
0.516159 0.19 1.10913 0.0943913 1
0.567661 0.19 1.06194 0.0941652 1
0.617622 0.19 1.09976 0.0943359 1
0.66883 0.19 1.07044 0.094198 1
0.719076 0.19 1.09375 0.0943037 1
0.770092 0.19 1.0756 0.0942192 1
0.82051 0.19 1.08996 0.0942846 1
0.871403 0.19 1.07874 0.0942327 1
0.921926 0.19 1.08759 0.094273 1
0.951926 0.16902 0.936189 0.0837545 0
0.972741 0.19 1.08066 0.0942411 1
1.02333 0.19 1.08611 0.094266 1
1.07409 0.19 1.08184 0.0942464 1
1.12472 0.19 1.0852 0.0942618 1
1.17546 0.19 1.08257 0.0942497 1
1.22611 0.19 1.08464 0.0942592 1
1.27683 0.19 1.08301 0.0942517 1
1.32749 0.19 1.08429 0.0942575 1
1.3782 0.19 1.08329 0.0942529 1
1.4132 0.173884 0.968119 0.0863602 0
1.42887 0.19 1.08408 0.0942565 1
1.47957 0.19 1.08346 0.0942537 1
1.53025 0.19 1.08394 0.0942559 1
1.58094 0.19 1.08356 0.0942542 1
1.63163 0.19 1.08386 0.0942556 1
1.68232 0.19 1.08363 0.0942545 1
1.733 0.19 1.08381 0.0942553 1
1.78369 0.19 1.08367 0.0942547 1
1.83438 0.19 1.08378 0.0942552 1
1.87438 0.178807 1.00673 0.0888692 0
1.88507 0.19 1.08369 0.0942548 1
1.93576 0.19 1.08376 0.0942551 1
1.98645 0.19 1.08371 0.0942548 1
2.03713 0.19 1.08375 0.094255 1
2.08782 0.19 1.08371 0.0942549 1
2.13851 0.19 1.08374 0.094255 1
2.1892 0.19 1.08372 0.0942549 1
2.23989 0.19 1.08374 0.094255 1
2.29058 0.19 1.08372 0.0942549 1
2.33558 0.18394 1.04552 0.0913894 0
2.34126 0.19 1.08373 0.094255 1
2.39195 0.19 1.08373 0.0942549 1
2.44264 0.19 1.08373 0.094255 1
2.49333 0.19 1.08373 0.0942549 1
2.54402 0.19 1.08373 0.094255 1
2.59471 0.19 1.08373 0.094255 1
2.64539 0.19 1.08373 0.094255 1
2.69608 0.19 1.08373 0.094255 1
2.74677 0.19 1.08373 0.094255 1
2.79677 0.189256 1.07961 0.0939082 0
2.79746 0.19 1.08373 0.094255 1
2.84815 0.19 1.08373 0.094255 1
2.89883 0.19 1.08373 0.094255 1
2.94952 0.19 1.08373 0.094255 1
3.00021 0.19 1.08373 0.094255 1
3.0509 0.19 1.08373 0.094255 1
3.10159 0.19 1.08373 0.094255 1
3.15228 0.19 1.08373 0.094255 1
3.20296 0.19 1.08373 0.094255 1
3.25796 0.194722 1.10558 0.0964272 0
3.25365 0.19 1.08373 0.094255 1
3.30434 0.19 1.08373 0.094255 1
3.35503 0.19 1.08373 0.094255 1
3.40572 0.19 1.08373 0.094255 1
