t x v M dripped?
0 0 0 0.01 0
0.165899 0.19 0.951827 0.0935467 1
0.212928 0.19 1.17518 0.0949703 1
0.266304 0.19 0.984983 0.0939488 1
0.313669 0.19 1.14224 0.0946675 1
0.366106 0.19 1.02475 0.0940414 1
0.414833 0.19 1.12273 0.0944883 1
0.466758 0.19 1.04772 0.0941161 1
0.481758 0.156846 0.87359 0.0770184 0
0.516254 0.19 1.10866 0.0943906 1
0.567756 0.19 1.06172 0.0941657 1
0.617725 0.19 1.09932 0.0943354 1
0.668935 0.19 1.07019 0.0941984 1
0.719188 0.19 1.09333 0.0943033 1
0.770205 0.19 1.07532 0.0942195 1
0.82063 0.19 1.08956 0.0942843 1
0.871525 0.19 1.07844 0.0942328 1
0.922053 0.19 1.08721 0.0942729 1
0.952053 0.169026 0.935613 0.0837573 0
0.972871 0.19 1.08035 0.0942412 1
1.02346 0.19 1.08575 0.0942659 1
1.07423 0.19 1.08152 0.0942465 1
1.12486 0.19 1.08484 0.0942617 1
1.1756 0.19 1.08224 0.0942497 1
1.22626 0.19 1.08428 0.0942591 1
1.27698 0.19 1.08268 0.0942517 1
1.32765 0.19 1.08394 0.0942575 1
1.37836 0.19 1.08295 0.0942529 1
1.41336 0.173886 0.967592 0.0863611 0
1.42904 0.19 1.08373 0.0942565 1
1.47974 0.19 1.08312 0.0942537 1
1.53042 0.19 1.0836 0.0942559 1
1.58112 0.19 1.08322 0.0942542 1
1.63181 0.19 1.08352 0.0942555 1
1.68251 0.19 1.08328 0.0942545 1
1.7332 0.19 1.08347 0.0942553 1
1.78389 0.19 1.08332 0.0942546 1
1.83458 0.19 1.08344 0.0942552 1
1.87458 0.178807 1.00625 0.0888693 0
1.88527 0.19 1.08335 0.0942548 1
1.93597 0.19 1.08342 0.0942551 1
1.98666 0.19 1.08336 0.0942548 1
2.03735 0.19 1.08341 0.094255 1
2.08804 0.19 1.08337 0.0942549 1
2.13874 0.19 1.0834 0.094255 1
2.18943 0.19 1.08338 0.0942549 1
2.24012 0.19 1.08339 0.094255 1
2.29081 0.19 1.08338 0.0942549 1
2.33581 0.183938 1.0451 0.0913884 0
2.3415 0.19 1.08339 0.094255 1
2.3922 0.19 1.08338 0.0942549 1
2.44289 0.19 1.08339 0.0942549 1
2.49358 0.19 1.08338 0.0942549 1
2.54427 0.19 1.08339 0.0942549 1
2.59497 0.19 1.08339 0.0942549 1
2.64566 0.19 1.08339 0.0942549 1
2.69635 0.19 1.08339 0.0942549 1
2.74704 0.19 1.08339 0.0942549 1
2.79704 0.189251 1.07924 0.0939063 0
2.79774 0.19 1.08339 0.0942549 1
2.84843 0.19 1.08339 0.0942549 1
2.89912 0.19 1.08339 0.0942549 1
2.94981 0.19 1.08339 0.0942549 1
3.0005 0.19 1.08339 0.0942549 1
3.0512 0.19 1.08339 0.0942549 1
3.10189 0.19 1.08339 0.0942549 1
3.15258 0.19 1.08339 0.0942549 1
3.20327 0.19 1.08339 0.0942549 1
3.25827 0.194717 1.10524 0.0964243 0
3.25397 0.19 1.08339 0.0942549 1
3.30466 0.19 1.08339 0.0942549 1
3.35535 0.19 1.08339 0.0942549 1
3.40604 0.19 1.08339 0.0942549 1
3.45673 0.19 1.08339 0.0942549 1
3.50743 0.19 1.08339 0.0942549 1
3.55812 0.19 1.08339 0.0942549 1
3.60881 0.19 1.08339 0.0942549 1
3.6595 0.19 1.08339 0.0942549 1
3.7102 0.19 1.08339 0.0942549 1
3.7152 0.14577 1.01524 0.0712443 0
3.76089 0.19 1.08339 0.0942549 1
3.81158 0.19 1.08339 0.0942549 1
3.86227 0.19 1.08339 0.0942549 1
3.91297 0.19 1.08339 0.0942549 1
3.96366 0.19 1.08339 0.0942549 1
