t x v M dripped?
0 0 0 0.01 0
0.165752 0.19 0.952548 0.0935392 1
0.212795 0.19 1.17644 0.0949735 1
0.266182 0.19 0.985047 0.0939481 1
0.31352 0.19 1.14326 0.0946705 1
0.365956 0.19 1.025 0.0940402 1
0.414663 0.19 1.12373 0.0944904 1
0.466587 0.19 1.04806 0.094115 1
0.481587 0.156832 0.874222 0.0770155 0
0.516064 0.19 1.1096 0.0943921 1
0.567566 0.19 1.06216 0.0941648 1
0.617519 0.19 1.1002 0.0943364 1
0.668726 0.19 1.07069 0.0941977 1
0.718965 0.19 1.09416 0.0943041 1
0.769979 0.19 1.07588 0.094219 1
0.820391 0.19 1.09035 0.0942848 1
0.871281 0.19 1.07904 0.0942325 1
0.921799 0.19 1.08796 0.0942732 1
0.951799 0.169014 0.936765 0.0837517 0
0.972611 0.19 1.08098 0.094241 1
1.02319 0.19 1.08648 0.0942662 1
1.07396 0.19 1.08216 0.0942463 1
1.12458 0.19 1.08556 0.0942619 1
1.17531 0.19 1.0829 0.0942496 1
1.22596 0.19 1.08499 0.0942592 1
1.27667 0.19 1.08335 0.0942517 1
1.32733 0.19 1.08464 0.0942576 1
1.37803 0.19 1.08363 0.0942529 1
1.41303 0.173881 0.968646 0.0863592 0
1.4287 0.19 1.08442 0.0942566 1
1.4794 0.19 1.0838 0.0942537 1
1.53007 0.19 1.08429 0.094256 1
1.58076 0.19 1.0839 0.0942542 1
1.63144 0.19 1.08421 0.0942556 1
1.68213 0.19 1.08397 0.0942545 1
1.73281 0.19 1.08415 0.0942554 1
1.7835 0.19 1.08401 0.0942547 1
1.83418 0.19 1.08412 0.0942552 1
1.87418 0.178807 1.0072 0.0888691 0
1.88487 0.19 1.08403 0.0942548 1
1.93555 0.19 1.0841 0.0942551 1
1.98624 0.19 1.08405 0.0942549 1
2.03692 0.19 1.08409 0.0942551 1
2.0876 0.19 1.08406 0.0942549 1
2.13829 0.19 1.08408 0.094255 1
2.18897 0.19 1.08406 0.0942549 1
2.23966 0.19 1.08408 0.094255 1
2.29034 0.19 1.08407 0.094255 1
2.33534 0.183942 1.04595 0.0913903 0
2.34102 0.19 1.08408 0.094255 1
2.39171 0.19 1.08407 0.094255 1
2.44239 0.19 1.08408 0.094255 1
2.49308 0.19 1.08407 0.094255 1
2.54376 0.19 1.08407 0.094255 1
2.59444 0.19 1.08407 0.094255 1
2.64513 0.19 1.08407 0.094255 1
2.69581 0.19 1.08407 0.094255 1
2.7465 0.19 1.08407 0.094255 1
2.7965 0.18926 1.07998 0.0939102 0
2.79718 0.19 1.08407 0.094255 1
2.84787 0.19 1.08407 0.094255 1
2.89855 0.19 1.08407 0.094255 1
2.94923 0.19 1.08407 0.094255 1
2.99992 0.19 1.08407 0.094255 1
3.0506 0.19 1.08407 0.094255 1
3.10129 0.19 1.08407 0.094255 1
3.15197 0.19 1.08407 0.094255 1
3.20265 0.19 1.08407 0.094255 1
3.25765 0.194728 1.10591 0.0964302 0
3.25334 0.19 1.08407 0.094255 1
3.30402 0.19 1.08407 0.094255 1
3.35471 0.19 1.08407 0.094255 1
3.40539 0.19 1.08407 0.094255 1
3.45608 0.19 1.08407 0.094255 1
3.50676 0.19 1.08407 0.094255 1
3.55744 0.19 1.08407 0.094255 1
3.60813 0.19 1.08407 0.094255 1
3.65881 0.19 1.08407 0.094255 1
3.7095 0.19 1.08407 0.094255 1
3.7145 0.145732 1.01609 0.0712302 0
3.76018 0.19 1.08407 0.094255 1
3.81086 0.19 1.08407 0.094255 1
3.86155 0.19 1.08407 0.094255 1
3.91223 0.19 1.08407 0.094255 1
3.96292 0.19 1.08407 0.094255 1
4.0136 0.19 1.08407 0.094255 1
4.06428 0.19 1.08407 0.094255 1
4.11497 0.19 1.08407 0.094255 1
4.16565 0.19 1.08407 0.094255 1
4.17565 0.150667 0.960742 0.0737502 0
4.21634 0.19 1.08407 0.094255 1
4.26702 0.19 1.08407 0.094255 1
4.31771 0.19 1.08407 0.094255 1
4.36839 0.19 1.08407 0.094255 1
4.41907 0.19 1.08407 0.094255 1
4.46976 0.19 1.08407 0.094255 1
4.52044 0.19 1.08407 0.094255 1
4.57113 0.19 1.08407 0.094255 1
4.62181 0.19 1.08407 0.094255 1
4.63681 0.155371 0.924263 0.0762702 0
4.67249 0.19 1.08407 0.094255 1
4.72318 0.19 1.08407 0.094255 1
4.77386 0.19 1.08407 0.094255 1
4.82455 0.19 1.08407 0.094255 1
4.87523 0.19 1.08407 0.094255 1
4.92592 0.19 1.08407 0.094255 1
4.9766 0.19 1.08407 0.094255 1
5.02728 0.19 1.08407 0.094255 1
