t x v M dripped?
0 0 0 0.01 0
0.166046 0.19 0.951126 0.0935542 1
0.213061 0.19 1.17392 0.0949669 1
0.266427 0.19 0.984927 0.0939495 1
0.31382 0.19 1.14122 0.0946644 1
0.366257 0.19 1.02451 0.0940428 1
0.415006 0.19 1.12173 0.0944861 1
0.46693 0.19 1.04737 0.0941172 1
0.48193 0.156859 0.87296 0.0770212 0
0.516444 0.19 1.10772 0.094389 1
0.567948 0.19 1.06129 0.0941665 1
0.617933 0.19 1.09844 0.0943343 1
0.669145 0.19 1.06968 0.094199 1
0.719411 0.19 1.09251 0.0943026 1
0.770433 0.19 1.07476 0.0942199 1
0.820869 0.19 1.08878 0.0942838 1
0.871769 0.19 1.07784 0.0942331 1
0.922309 0.19 1.08645 0.0942725 1
0.952309 0.169039 0.93446 0.0837628 0
0.973133 0.19 1.07972 0.0942414 1
1.02373 0.19 1.08501 0.0942656 1
1.07451 0.19 1.08087 0.0942466 1
1.12515 0.19 1.08412 0.0942615 1
1.1759 0.19 1.08158 0.0942498 1
1.22656 0.19 1.08358 0.0942589 1
1.27729 0.19 1.08201 0.0942517 1
1.32797 0.19 1.08324 0.0942574 1
1.37869 0.19 1.08228 0.0942529 1
1.41369 0.173891 0.966539 0.086363 0
1.42937 0.19 1.08303 0.0942564 1
1.48008 0.19 1.08244 0.0942537 1
1.53078 0.19 1.0829 0.0942558 1
1.58148 0.19 1.08254 0.0942541 1
1.63218 0.19 1.08283 0.0942555 1
1.68288 0.19 1.0826 0.0942544 1
1.73358 0.19 1.08278 0.0942552 1
1.78428 0.19 1.08264 0.0942546 1
1.83498 0.19 1.08275 0.0942551 1
1.87498 0.178807 1.0053 0.0888695 0
1.88568 0.19 1.08266 0.0942547 1
1.93638 0.19 1.08273 0.094255 1
1.98708 0.19 1.08268 0.0942548 1
2.03778 0.19 1.08272 0.094255 1
2.08849 0.19 1.08269 0.0942548 1
2.13919 0.19 1.08271 0.0942549 1
2.18989 0.19 1.08269 0.0942548 1
2.24059 0.19 1.08271 0.0942549 1
2.29129 0.19 1.0827 0.0942549 1
2.33629 0.183934 1.04425 0.0913865 0
2.34199 0.19 1.0827 0.0942549 1
2.39269 0.19 1.0827 0.0942549 1
2.44339 0.19 1.0827 0.0942549 1
2.49409 0.19 1.0827 0.0942549 1
2.54479 0.19 1.0827 0.0942549 1
2.59549 0.19 1.0827 0.0942549 1
2.64619 0.19 1.0827 0.0942549 1
2.69689 0.19 1.0827 0.0942549 1
2.74759 0.19 1.0827 0.0942549 1
2.79759 0.189243 1.07849 0.0939024 0
2.79829 0.19 1.0827 0.0942549 1
2.84899 0.19 1.0827 0.0942549 1
2.89969 0.19 1.0827 0.0942549 1
2.95039 0.19 1.0827 0.0942549 1
3.00109 0.19 1.0827 0.0942549 1
3.05179 0.19 1.0827 0.0942549 1
3.10249 0.19 1.0827 0.0942549 1
3.15319 0.19 1.0827 0.0942549 1
3.20389 0.19 1.0827 0.0942549 1
3.25889 0.194705 1.10458 0.0964184 0
3.25459 0.19 1.0827 0.0942549 1
3.3053 0.19 1.0827 0.0942549 1
3.356 0.19 1.0827 0.0942549 1
3.4067 0.19 1.0827 0.0942549 1
3.4574 0.19 1.0827 0.0942549 1
3.5081 0.19 1.0827 0.0942549 1
3.5588 0.19 1.0827 0.0942549 1
3.6095 0.19 1.0827 0.0942549 1
3.6602 0.19 1.0827 0.0942549 1
3.7109 0.19 1.0827 0.0942549 1
3.7159 0.145808 1.01438 0.0712584 0
3.7616 0.19 1.0827 0.0942549 1
3.8123 0.19 1.0827 0.0942549 1
3.863 0.19 1.0827 0.0942549 1
3.9137 0.19 1.0827 0.0942549 1
3.9644 0.19 1.0827 0.0942549 1
4.0151 0.19 1.0827 0.0942549 1
4.0658 0.19 1.0827 0.0942549 1
4.1165 0.19 1.0827 0.0942549 1
4.1672 0.19 1.0827 0.0942549 1
4.1772 0.150734 0.958741 0.0737744 0
4.2179 0.19 1.0827 0.0942549 1
4.2686 0.19 1.0827 0.0942549 1
4.3193 0.19 1.0827 0.0942549 1
4.37 0.19 1.0827 0.0942549 1
4.4207 0.19 1.0827 0.0942549 1
4.4714 0.19 1.0827 0.0942549 1
4.52211 0.19 1.0827 0.0942549 1
4.57281 0.19 1.0827 0.0942549 1
4.62351 0.19 1.0827 0.0942549 1
4.63851 0.155427 0.922047 0.0762904 0
4.67421 0.19 1.0827 0.0942549 1
4.72491 0.19 1.0827 0.0942549 1
4.77561 0.19 1.0827 0.0942549 1
4.82631 0.19 1.0827 0.0942549 1
4.87701 0.19 1.0827 0.0942549 1
4.92771 0.19 1.0827 0.0942549 1
4.97841 0.19 1.0827 0.0942549 1
5.02911 0.19 1.0827 0.0942549 1
5.07981 0.19 1.0827 0.0942549 1
5.09981 0.15999 0.906685 0.0788064 0
5.13051 0.19 1.0827 0.0942549 1
5.18121 0.19 1.0827 0.0942549 1
5.23191 0.19 1.0827 0.0942549 1
5.28261 0.19 1.0827 0.0942549 1
5.33331 0.19 1.0827 0.0942549 1
5.38401 0.19 1.0827 0.0942549 1
5.43471 0.19 1.0827 0.0942549 1
5.48541 0.19 1.0827 0.0942549 1
5.53611 0.19 1.0827 0.0942549 1
5.56111 0.164528 0.911637 0.0813224 0
5.58681 0.19 1.0827 0.0942549 1
5.63751 0.19 1.0827 0.0942549 1
5.68821 0.19 1.0827 0.0942549 1
5.73892 0.19 1.0827 0.0942549 1
5.78962 0.19 1.0827 0.0942549 1
5.84032 0.19 1.0827 0.0942549 1
5.89102 0.19 1.0827 0.0942549 1
5.94172 0.19 1.0827 0.0942549 1
5.99242 0.19 1.0827 0.0942549 1
6.02242 0.169134 0.9333 0.0838384 0
6.04312 0.19 1.0827 0.0942549 1
6.09382 0.19 1.0827 0.0942549 1
6.14452 0.19 1.0827 0.0942549 1
6.19522 0.19 1.0827 0.0942549 1
6.24592 0.19 1.0827 0.0942549 1
6.29662 0.19 1.0827 0.0942549 1
6.34732 0.19 1.0827 0.0942549 1
6.39802 0.19 1.0827 0.0942549 1
6.44872 0.19 1.0827 0.0942549 1
6.48372 0.17388 0.966473 0.0863544 0
6.49942 0.19 1.0827 0.0942549 1
6.55012 0.19 1.0827 0.0942549 1
6.60082 0.19 1.0827 0.0942549 1
6.65152 0.19 1.0827 0.0942549 1
6.70222 0.19 1.0827 0.0942549 1
6.75292 0.19 1.0827 0.0942549 1
6.80362 0.19 1.0827 0.0942549 1
6.85432 0.19 1.0827 0.0942549 1
6.90502 0.19 1.0827 0.0942549 1
6.94502 0.178808 1.00533 0.0888704 0
6.95573 0.19 1.0827 0.0942549 1
7.00643 0.19 1.0827 0.0942549 1
7.05713 0.19 1.0827 0.0942549 1
7.10783 0.19 1.0827 0.0942549 1
7.15853 0.19 1.0827 0.0942549 1
7.20923 0.19 1.0827 0.0942549 1
7.25993 0.19 1.0827 0.0942549 1
7.31063 0.19 1.0827 0.0942549 1
7.36133 0.19 1.0827 0.0942549 1
7.40633 0.183933 1.04425 0.0913864 0
7.41203 0.19 1.0827 0.0942549 1
7.46273 0.19 1.0827 0.0942549 1
7.51343 0.19 1.0827 0.0942549 1
7.56413 0.19 1.0827 0.0942549 1
7.61483 0.19 1.0827 0.0942549 1
7.66553 0.19 1.0827 0.0942549 1
7.71623 0.19 1.0827 0.0942549 1
7.76693 0.19 1.0827 0.0942549 1
7.81763 0.19 1.0827 0.0942549 1
7.86763 0.189243 1.07849 0.0939024 0
7.86833 0.19 1.0827 0.0942549 1
7.91903 0.19 1.0827 0.0942549 1
7.96973 0.19 1.0827 0.0942549 1
8.02043 0.19 1.0827 0.0942549 1
8.07113 0.19 1.0827 0.0942549 1
8.12183 0.19 1.0827 0.0942549 1
8.17254 0.19 1.0827 0.0942549 1
8.22324 0.19 1.0827 0.0942549 1
8.27394 0.19 1.0827 0.0942549 1
8.32894 0.194705 1.10458 0.0964184 0
8.32464 0.19 1.0827 0.0942549 1
8.37534 0.19 1.0827 0.0942549 1
8.42604 0.19 1.0827 0.0942549 1
8.47674 0.19 1.0827 0.0942549 1
8.52744 0.19 1.0827 0.0942549 1
8.57814 0.19 1.0827 0.0942549 1
8.62884 0.19 1.0827 0.0942549 1
8.67954 0.19 1.0827 0.0942549 1
8.73024 0.19 1.0827 0.0942549 1
8.78094 0.19 1.0827 0.0942549 1
8.78594 0.145808 1.01438 0.0712584 0
8.83164 0.19 1.0827 0.0942549 1
8.88234 0.19 1.0827 0.0942549 1
8.93304 0.19 1.0827 0.0942549 1
8.98374 0.19 1.0827 0.0942549 1
9.03444 0.19 1.0827 0.0942549 1
9.08514 0.19 1.0827 0.0942549 1
9.13584 0.19 1.0827 0.0942549 1
9.18654 0.19 1.0827 0.0942549 1
9.23724 0.19 1.0827 0.0942549 1
9.24724 0.150734 0.958741 0.0737744 0
9.28794 0.19 1.0827 0.0942549 1
9.33864 0.19 1.0827 0.0942549 1
9.38935 0.19 1.0827 0.0942549 1
9.44005 0.19 1.0827 0.0942549 1
9.49075 0.19 1.0827 0.0942549 1
9.54145 0.19 1.0827 0.0942549 1
9.59215 0.19 1.0827 0.0942549 1
9.64285 0.19 1.0827 0.0942549 1
9.69355 0.19 1.0827 0.0942549 1
9.70855 0.155427 0.922047 0.0762904 0
9.74425 0.19 1.0827 0.0942549 1
9.79495 0.19 1.0827 0.0942549 1
9.84565 0.19 1.0827 0.0942549 1
9.89635 0.19 1.0827 0.0942549 1
9.94705 0.19 1.0827 0.0942549 1
9.99775 0.19 1.0827 0.0942549 1
10.0485 0.19 1.0827 0.0942549 1
10.0992 0.19 1.0827 0.0942549 1
10.1499 0.19 1.0827 0.0942549 1
10.1699 0.15999 0.906685 0.0788064 0
10.2006 0.19 1.0827 0.0942549 1
10.2513 0.19 1.0827 0.0942549 1
10.302 0.19 1.0827 0.0942549 1
10.3527 0.19 1.0827 0.0942549 1
10.4034 0.19 1.0827 0.0942549 1
10.4541 0.19 1.0827 0.0942549 1
10.5048 0.19 1.0827 0.0942549 1
10.5555 0.19 1.0827 0.0942549 1
10.6062 0.19 1.0827 0.0942549 1
10.6312 0.164528 0.911637 0.0813224 0
10.6569 0.19 1.0827 0.0942549 1
10.7076 0.19 1.0827 0.0942549 1
10.7583 0.19 1.0827 0.0942549 1
10.809 0.19 1.0827 0.0942549 1
10.8597 0.19 1.0827 0.0942549 1
10.9104 0.19 1.0827 0.0942549 1
10.9611 0.19 1.0827 0.0942549 1
11.0118 0.19 1.0827 0.0942549 1
11.0625 0.19 1.0827 0.0942549 1
11.0925 0.169134 0.9333 0.0838384 0
11.1132 0.19 1.0827 0.0942549 1
11.1639 0.19 1.0827 0.0942549 1
11.2146 0.19 1.0827 0.0942549 1
11.2653 0.19 1.0827 0.0942549 1
11.316 0.19 1.0827 0.0942549 1
11.3667 0.19 1.0827 0.0942549 1
11.4174 0.19 1.0827 0.0942549 1
11.4681 0.19 1.0827 0.0942549 1
11.5188 0.19 1.0827 0.0942549 1
11.5538 0.17388 0.966473 0.0863544 0
